Set,Release Date,Card Name,# Cubes,Card No.,Mana Cost,Type,Rarity,Price
Friday Night Magic 2000,2000-01-01,Llanowar Elves,28,11,{G},Creature — Elf Druid,rare,
Nemesis,2000-02-14,Seal of Cleansing,1,18,{1}{W},Enchantment,common,0.31
Nemesis,2000-02-14,Seal of Removal,3,42,{U},Enchantment,common,0.20
World Championship Decks 2000,2000-08-02,Seal of Cleansing,1,nl18sb,{1}{W},Enchantment,common,
World Championship Decks 2000,2000-08-02,Seal of Removal,3,tvdl42,{U},Enchantment,common,
World Championship Decks 2000,2000-08-02,Llanowar Elves,28,jk239,{G},Creature — Elf Druid,common,0.54
Beatdown Box Set,2000-10-01,Shock,6,45,{R},Instant,common,0.35
Beatdown Box Set,2000-10-01,Llanowar Elves,28,58,{G},Creature — Elf Druid,common,0.99
Beatdown Box Set,2000-10-01,Wild Growth,11,64,{G},Enchantment — Aura,common,0.90
Invasion,2000-10-02,Fact or Fiction,5,57,{3}{U},Instant,uncommon,2.12
Arena League 2001,2001-01-01,Fling,6,6,{1}{R},Instant,rare,
Seventh Edition,2001-04-11,Shock,6,219,{R},Instant,common,0.19
Seventh Edition,2001-04-11,Llanowar Elves,28,253,{G},Creature — Elf Druid,common,0.36
Seventh Edition,2001-04-11,Wild Growth,11,282,{G},Enchantment — Aura,common,0.28
World Championship Decks 2001,2001-08-08,Fact or Fiction,5,ar57,{3}{U},Instant,uncommon,2.97
World Championship Decks 2001,2001-08-08,Llanowar Elves,28,jt253,{G},Creature — Elf Druid,common,2.97
Odyssey,2001-10-01,Firebolt,23,193,{R},Sorcery,common,0.21
World Championship Decks 2002,2002-08-14,Fact or Fiction,5,cr57a,{3}{U},Instant,uncommon,0.56
World Championship Decks 2002,2002-08-14,Llanowar Elves,28,bk253,{G},Creature — Elf Druid,common,3.47
Onslaught,2002-10-07,Shock,6,227,{R},Instant,common,0.17
Eighth Edition,2003-07-28,Shock,6,222,{R},Instant,common,0.08
Mirrodin,2003-10-02,Loxodon Warhammer,3,201,{3},Artifact — Equipment,uncommon,0.37
Fifth Dawn,2004-06-04,Night's Whisper,18,55,{1}{B},Sorcery,uncommon,3.33
Fifth Dawn,2004-06-04,Cranial Plating,9,113,{2},Artifact — Equipment,common,0.33
World Championship Decks 2004,2004-09-01,Cranial Plating,9,ap113,{2},Artifact — Equipment,common,0.54
Friday Night Magic 2005,2005-01-01,Rancor,28,1,{G},Enchantment — Aura,rare,
Friday Night Magic 2005,2005-01-01,Seal of Cleansing,1,2,{1}{W},Enchantment,rare,
Friday Night Magic 2005,2005-01-01,Fact or Fiction,5,6,{3}{U},Instant,rare,
Betrayers of Kamigawa,2005-02-04,Ninja of the Deep Hours,27,44,{3}{U},Creature — Human Ninja,common,1.30
Ninth Edition,2005-07-29,Shock,6,220,{R},Instant,common,0.09
Ninth Edition,2005-07-29,Llanowar Elves,28,253,{G},Creature — Elf Druid,common,0.28
Ninth Edition,2005-07-29,Loxodon Warhammer,3,303,{3},Artifact — Equipment,rare,1.32
Salvat 2005,2005-08-22,Ninja of the Deep Hours,27,E6,{3}{U},Creature — Human Ninja,common,
Salvat 2005,2005-08-22,Shock,6,I53,{R},Instant,common,
Salvat 2005,2005-08-22,Selesnya Sanctuary,23,L33,,Land,common,
Ravnica: City of Guilds,2005-10-07,Compulsive Research,15,40,{2}{U},Sorcery,common,0.13
Ravnica: City of Guilds,2005-10-07,Boros Garrison,23,275,,Land,common,0.24
Ravnica: City of Guilds,2005-10-07,Dimir Aqueduct,24,276,,Land,common,0.31
Ravnica: City of Guilds,2005-10-07,Golgari Rot Farm,23,278,,Land,common,0.42
Ravnica: City of Guilds,2005-10-07,Selesnya Sanctuary,23,281,,Land,common,0.25
Guildpact,2006-02-03,Gruul Turf,23,158,,Land,common,0.30
Guildpact,2006-02-03,Izzet Boilerworks,27,159,,Land,common,0.27
Guildpact,2006-02-03,Orzhov Basilica,23,161,,Land,common,0.24
Dissension,2006-05-05,Azorius Chancery,23,170,,Land,common,0.26
Dissension,2006-05-05,Rakdos Carnarium,23,178,,Land,common,0.24
Dissension,2006-05-05,Simic Growth Chamber,23,180,,Land,common,0.35
Time Spiral,2006-10-06,Looter il-Kor,20,66,{1}{U},Creature — Kor Rogue,common,0.23
Friday Night Magic 2007,2007-01-01,Firebolt,23,1,{R},Sorcery,rare,
Tenth Edition,2007-07-13,Shock,6,232,{R},Instant,common,0.15
Tenth Edition,2007-07-13,Llanowar Elves,28,274,{G},Creature — Elf Druid,common,0.35
Tenth Edition,2007-07-13,Loxodon Warhammer,3,332,{3},Artifact — Equipment,rare,1.38
Tenth Edition,2007-07-13,Mind Stone,23,335,{2},Artifact,uncommon,0.63
DCI Promos,2007-10-01,Llanowar Elves,28,9,{G},Creature — Elf Druid,rare,
DCI Promos,2007-10-01,Mind Stone,23,11,{2},Artifact,rare,
Lorwyn,2007-10-12,Mulldrifter,29,76,{4}{U},Creature — Elemental,common,0.46
Duel Decks: Elves vs. Goblins,2007-11-16,Llanowar Elves,28,9,{G},Creature — Elf Druid,common,0.33
Eventide,2008-07-25,Flickerwisp,5,6,{1}{W}{W},Creature — Elemental,uncommon,0.29
Duel Decks: Jace vs. Chandra,2008-11-07,Mulldrifter,29,12,{4}{U},Creature — Elemental,common,0.26
Duel Decks: Jace vs. Chandra,2008-11-07,Mind Stone,23,22,{2},Artifact,uncommon,0.77
Duel Decks: Jace vs. Chandra,2008-11-07,Fact or Fiction,5,26,{3}{U},Instant,uncommon,0.28
Duel Decks: Jace vs. Chandra,2008-11-07,Firebolt,23,49,{R},Sorcery,common,0.26
Friday Night Magic 2009,2009-01-01,Mulldrifter,29,6,{4}{U},Creature — Elemental,rare,
Alara Reborn,2009-04-30,Qasali Pridemage,19,75,{G}{W},Creature — Cat Wizard,common,0.21
Magic 2010,2009-07-17,Llanowar Elves,28,189,{G},Creature — Elf Druid,common,0.28
Planechase,2009-09-04,Cranial Plating,9,110,{2},Artifact — Equipment,common,0.53
Planechase,2009-09-04,Loxodon Warhammer,3,118,{3},Artifact — Equipment,rare,0.41
Planechase,2009-09-04,Boros Garrison,23,131,,Land,common,0.25
Planechase,2009-09-04,Gruul Turf,23,134,,Land,common,0.34
Zendikar,2009-10-02,Journey to Nowhere,25,14,{1}{W},Enchantment,common,1.29
Zendikar,2009-10-02,Vampire Nighthawk,3,116,{1}{B}{B},Creature — Vampire Shaman,uncommon,0.21
Zendikar,2009-10-02,Burst Lightning,19,119,{R},Instant,common,0.20
Duel Decks: Garruk vs. Liliana,2009-10-30,Rancor,28,15,{G},Enchantment — Aura,common,0.99
DCI Promos,2009-10-31,Vampire Nighthawk,3,33,{1}{B}{B},Creature — Vampire Shaman,rare,
Magic Player Rewards 2010,2010-01-01,Burst Lightning,19,8,{R},Instant,rare,1.18
Friday Night Magic 2010,2010-01-01,Qasali Pridemage,19,9,{G}{W},Creature — Cat Wizard,rare,
Rise of the Eldrazi,2010-04-23,Kiln Fiend,9,153,{1}{R},Creature — Elemental Beast,common,0.20
Rise of the Eldrazi,2010-04-23,Snake Umbra,5,207,{2}{G},Enchantment — Aura,common,0.37
Duels of the Planeswalkers,2010-06-04,Shock,6,54,{R},Instant,common,0.25
Duels of the Planeswalkers,2010-06-04,Loxodon Warhammer,3,94,{3},Artifact — Equipment,rare,0.52
Archenemy,2010-06-18,Reassembling Skeleton,3,22,{1}{B},Creature — Skeleton Warrior,uncommon,0.61
Archenemy,2010-06-18,Rancor,28,67,{G},Enchantment — Aura,common,1.36
Archenemy,2010-06-18,Rakdos Carnarium,23,132,,Land,common,0.24
Magic 2011,2010-07-16,Reassembling Skeleton,3,112,{1}{B},Creature — Skeleton Warrior,uncommon,0.25
Magic 2011,2010-07-16,Fling,6,139,{1}{R},Instant,common,0.07
Magic 2011,2010-07-16,Llanowar Elves,28,184,{G},Creature — Elf Druid,common,0.28
Duel Decks: Elspeth vs. Tezzeret,2010-09-03,Journey to Nowhere,25,23,{1}{W},Enchantment,common,2.20
Scars of Mirrodin,2010-10-01,Arc Trail,4,81,{1}{R},Sorcery,uncommon,0.11
Magic Online Theme Decks,2010-11-08,Flickerwisp,5,B4,{1}{W}{W},Creature — Elemental,uncommon,
Magic Online Theme Decks,2010-11-08,Seal of Cleansing,1,A15,{1}{W},Enchantment,common,
Magic Online Theme Decks,2010-11-08,Looter il-Kor,20,A25,{1}{U},Creature — Kor Rogue,common,
Magic Online Theme Decks,2010-11-08,Mulldrifter,29,A28,{4}{U},Creature — Elemental,common,
Magic Online Theme Decks,2010-11-08,Fact or Fiction,5,A23,{3}{U},Instant,uncommon,
Magic Online Theme Decks,2010-11-08,Compulsive Research,15,A19,{2}{U},Sorcery,common,
Magic Online Theme Decks,2010-11-08,Azorius Chancery,23,A121,,Land,uncommon,
Magic Online Theme Decks,2010-11-08,Rakdos Carnarium,23,A133,,Land,common,
Magic Online Theme Decks,2010-11-08,Gruul Turf,23,A130,,Land,common,
Magic Online Theme Decks,2010-11-08,Selesnya Sanctuary,23,A137,,Land,uncommon,
Magic Online Theme Decks,2010-11-08,Golgari Rot Farm,23,A129,,Land,common,
Magic Online Theme Decks,2010-11-08,Simic Growth Chamber,23,A138,,Land,uncommon,
Salvat 2011,2011-01-01,Shock,6,121,{R},Instant,common,
Salvat 2011,2011-01-01,Loxodon Warhammer,3,194,{3},Artifact — Equipment,rare,
Duel Decks: Knights vs. Dragons,2011-04-01,Loxodon Warhammer,3,31,{3},Artifact — Equipment,rare,1.18
Duel Decks: Knights vs. Dragons,2011-04-01,Selesnya Sanctuary,23,37,,Land,common,0.28
New Phyrexia,2011-05-13,Porcelain Legionnaire,24,19,{2}{W/P},Artifact Creature — Phyrexian Soldier,common,0.16
New Phyrexia,2011-05-13,Vault Skirge,22,76,{1}{B/P},Artifact Creature — Phyrexian Imp,common,0.29
New Phyrexia,2011-05-13,Trespassing Souleater,1,163,{3},Artifact Creature — Phyrexian Construct,common,0.08
DCI Promos,2011-05-31,Fling,6,69,{1}{R},Instant,rare,
DCI Promos,2011-05-31,Vault Skirge,22,71,{1}{B/P},Artifact Creature — Phyrexian Imp,rare,
Commander 2011,2011-06-17,Journey to Nowhere,25,17,{1}{W},Enchantment,common,1.61
Commander 2011,2011-06-17,Fact or Fiction,5,45,{3}{U},Instant,uncommon,0.23
Commander 2011,2011-06-17,Mulldrifter,29,52,{4}{U},Creature — Elemental,common,0.44
Commander 2011,2011-06-17,Vampire Nighthawk,3,106,{1}{B}{B},Creature — Vampire Shaman,uncommon,0.24
Commander 2011,2011-06-17,Azorius Chancery,23,265,,Land,common,0.17
Commander 2011,2011-06-17,Boros Garrison,23,268,,Land,common,0.16
Commander 2011,2011-06-17,Dimir Aqueduct,24,270,,Land,common,0.29
Commander 2011,2011-06-17,Golgari Rot Farm,23,275,,Land,common,0.26
Commander 2011,2011-06-17,Gruul Turf,23,276,,Land,common,0.24
Commander 2011,2011-06-17,Izzet Boilerworks,27,278,,Land,common,0.20
Commander 2011,2011-06-17,Orzhov Basilica,23,283,,Land,common,0.24
Commander 2011,2011-06-17,Rakdos Carnarium,23,284,,Land,common,0.25
Commander 2011,2011-06-17,Selesnya Sanctuary,23,287,,Land,common,0.26
Commander 2011,2011-06-17,Simic Growth Chamber,23,288,,Land,common,0.23
Magic 2012,2011-07-15,Reassembling Skeleton,3,104,{1}{B},Creature — Skeleton Warrior,uncommon,0.18
Magic 2012,2011-07-15,Fling,6,134,{1}{R},Instant,common,0.09
Magic 2012,2011-07-15,Shock,6,154,{R},Instant,common,0.05
Magic 2012,2011-07-15,Llanowar Elves,28,182,{G},Creature — Elf Druid,common,0.27
Duel Decks: Ajani vs. Nicol Bolas,2011-09-02,Qasali Pridemage,19,10,{G}{W},Creature — Cat Wizard,common,0.31
Dark Ascension,2012-02-03,Thought Scour,4,52,{U},Instant,common,0.29
Dark Ascension,2012-02-03,Faithless Looting,23,87,{R},Sorcery,common,0.34
Dark Ascension,2012-02-03,Fling,6,90,{1}{R},Instant,common,0.10
IDW Comics Inserts,2012-02-29,Faithless Looting,23,2,{R},Sorcery,rare,3.85
Duel Decks: Venser vs. Koth,2012-03-30,Azorius Chancery,23,33,,Land,common,0.16
Planechase 2012,2012-06-01,Ninja of the Deep Hours,27,21,{3}{U},Creature — Human Ninja,common,3.02
Planechase 2012,2012-06-01,Arc Trail,4,39,{1}{R},Sorcery,uncommon,0.14
Planechase 2012,2012-06-01,Fling,6,44,{1}{R},Instant,common,0.22
Planechase 2012,2012-06-01,Rancor,28,76,{G},Enchantment — Aura,common,1.37
Planechase 2012,2012-06-01,Snake Umbra,5,78,{2}{G},Enchantment — Aura,common,1.81
Planechase 2012,2012-06-01,Dimir Aqueduct,24,116,,Land,common,0.24
Planechase 2012,2012-06-01,Gruul Turf,23,119,,Land,common,0.26
Planechase 2012,2012-06-01,Selesnya Sanctuary,23,125,,Land,common,0.28
Magic 2013,2012-07-13,Murder,8,101,{1}{B}{B},Instant,common,0.06
Magic 2013,2012-07-13,Vampire Nighthawk,3,112,{1}{B}{B},Creature — Vampire Shaman,uncommon,0.16
Magic 2013,2012-07-13,Rancor,28,185,{G},Enchantment — Aura,uncommon,0.94
Duel Decks: Izzet vs. Golgari,2012-09-07,Kiln Fiend,9,2,{1}{R},Creature — Elemental Beast,common,0.21
Duel Decks: Izzet vs. Golgari,2012-09-07,Izzet Boilerworks,27,34,,Land,common,0.21
Duel Decks: Izzet vs. Golgari,2012-09-07,Reassembling Skeleton,3,50,{1}{B},Creature — Skeleton Warrior,uncommon,0.27
Duel Decks: Izzet vs. Golgari,2012-09-07,Golgari Rot Farm,23,80,,Land,common,0.27
Return to Ravnica,2012-10-05,Guttersnipe,12,98,{2}{R},Creature — Goblin Shaman,uncommon,0.23
Magic Online Promos,2013-01-11,Mind Stone,23,31405,{2},Artifact,uncommon,
Magic Online Promos,2013-01-11,Firebolt,23,31469,{R},Sorcery,common,
Magic Online Promos,2013-01-11,Vampire Nighthawk,3,36214,{1}{B}{B},Creature — Vampire Shaman,uncommon,
Gatecrash,2013-02-01,Burning-Tree Emissary,23,216,{R/G}{R/G},Creature — Human Shaman,uncommon,0.14
Duel Decks: Sorin vs. Tibalt,2013-03-15,Vampire Nighthawk,3,12,{1}{B}{B},Creature — Vampire Shaman,uncommon,0.22
Duel Decks: Sorin vs. Tibalt,2013-03-15,Reassembling Skeleton,3,44,{1}{B},Creature — Skeleton Warrior,uncommon,0.31
Duel Decks: Sorin vs. Tibalt,2013-03-15,Faithless Looting,23,59,{R},Sorcery,common,0.57
Duel Decks: Sorin vs. Tibalt,2013-03-15,Rakdos Carnarium,23,74,,Land,common,0.21
Modern Masters,2013-06-07,Flickerwisp,5,16,{1}{W}{W},Creature — Elemental,uncommon,0.16
Modern Masters,2013-06-07,Mulldrifter,29,54,{4}{U},Creature — Elemental,uncommon,0.32
Magic 2014,2013-07-19,Shock,6,155,{R},Instant,common,0.06
From the Vault: Twenty,2013-08-23,Fact or Fiction,5,9,{3}{U},Instant,mythic,
Theros,2013-09-27,Lightning Strike,18,127,{1}{R},Instant,common,0.08
Commander 2013,2013-11-01,Flickerwisp,5,13,{1}{W}{W},Creature — Elemental,uncommon,0.18
Commander 2013,2013-11-01,Vampire Nighthawk,3,97,{1}{B}{B},Creature — Vampire Shaman,uncommon,0.28
Commander 2013,2013-11-01,Guttersnipe,12,112,{2}{R},Creature — Goblin Shaman,uncommon,0.29
Commander 2013,2013-11-01,Azorius Chancery,23,274,,Land,common,0.17
Commander 2013,2013-11-01,Boros Garrison,23,279,,Land,common,0.15
Commander 2013,2013-11-01,Golgari Rot Farm,23,291,,Land,common,0.25
Commander 2013,2013-11-01,Izzet Boilerworks,27,296,,Land,common,0.24
Commander 2013,2013-11-01,Orzhov Basilica,23,311,,Land,common,0.21
Commander 2013,2013-11-01,Rakdos Carnarium,23,313,,Land,common,0.29
Commander 2013,2013-11-01,Selesnya Sanctuary,23,322,,Land,common,0.27
Born of the Gods,2014-02-07,Satyr Wayfinder,8,136,{1}{G},Creature — Satyr,common,0.09
Duel Decks: Jace vs. Vraska,2014-03-14,Thought Scour,4,21,{U},Instant,common,0.25
Duel Decks: Jace vs. Vraska,2014-03-14,Night's Whisper,18,68,{1}{B},Sorcery,uncommon,1.69
Conspiracy,2014-06-06,Compulsive Research,15,93,{2}{U},Sorcery,common,0.12
Conspiracy,2014-06-06,Fact or Fiction,5,97,{3}{U},Instant,uncommon,0.20
Vintage Masters,2014-06-16,Seal of Cleansing,1,43,{1}{W},Enchantment,common,
Vintage Masters,2014-06-16,Fact or Fiction,5,67,{3}{U},Instant,uncommon,
Magic 2015,2014-07-18,Lightning Strike,18,155,{1}{R},Instant,common,0.09
Magic 2015,2014-07-18,Satyr Wayfinder,8,198,{1}{G},Creature — Satyr,common,0.11
Duel Decks: Speed vs. Cunning,2014-09-05,Shock,6,21,{R},Instant,common,0.04
Duel Decks: Speed vs. Cunning,2014-09-05,Arc Trail,4,23,{1}{R},Sorcery,uncommon,0.11
Khans of Tarkir,2014-09-26,Treasure Cruise,23,59,{7}{U},Sorcery,common,0.24
Khans of Tarkir,2014-09-26,Monastery Swiftspear,21,118,{R},Creature — Human Monk,uncommon,0.37
Khans of Tarkir,2014-09-26,Jungle Hollow,9,235,,Land,common,0.09
Khans of Tarkir,2014-09-26,Scoured Barrens,11,242,,Land,common,0.12
Khans of Tarkir,2014-09-26,Swiftwater Cliffs,10,243,,Land,common,0.09
Khans of Tarkir,2014-09-26,Thornwood Falls,9,244,,Land,common,0.08
Magic Online Promos,2014-10-17,Shock,6,32531,{R},Instant,common,
Magic Online Promos,2014-10-17,Rancor,28,35112,{G},Enchantment — Aura,common,
Magic Online Promos,2014-10-17,Seal of Cleansing,1,35132,{1}{W},Enchantment,common,
Magic Online Promos,2014-10-17,Burst Lightning,19,37610,{R},Instant,common,
Magic Online Promos,2014-10-17,Vault Skirge,22,40076,{1}{B/P},Artifact Creature — Phyrexian Imp,common,
Commander 2014,2014-11-07,Flickerwisp,5,71,{1}{W}{W},Creature — Elemental,uncommon,0.24
Commander 2014,2014-11-07,Compulsive Research,15,102,{2}{U},Sorcery,common,0.14
Commander 2014,2014-11-07,Mulldrifter,29,118,{4}{U},Creature — Elemental,common,0.26
Commander 2014,2014-11-07,Faithless Looting,23,175,{R},Sorcery,common,0.47
Commander 2014,2014-11-07,Llanowar Elves,28,204,{G},Creature — Elf Druid,common,0.40
Commander 2014,2014-11-07,Loxodon Warhammer,3,247,{3},Artifact — Equipment,rare,0.36
Commander 2014,2014-11-07,Mind Stone,23,250,{2},Artifact,uncommon,0.24
Duel Decks Anthology: Elves vs. Goblins,2014-12-05,Llanowar Elves,28,9,{G},Creature — Elf Druid,common,0.30
Duel Decks Anthology: Jace vs. Chandra,2014-12-05,Mulldrifter,29,12,{4}{U},Creature — Elemental,common,0.53
Duel Decks Anthology: Garruk vs. Liliana,2014-12-05,Rancor,28,15,{G},Enchantment — Aura,common,0.88
Duel Decks Anthology: Jace vs. Chandra,2014-12-05,Mind Stone,23,22,{2},Artifact,uncommon,0.47
Duel Decks Anthology: Jace vs. Chandra,2014-12-05,Fact or Fiction,5,26,{3}{U},Instant,uncommon,0.30
Duel Decks Anthology: Jace vs. Chandra,2014-12-05,Firebolt,23,49,{R},Sorcery,common,0.16
Fate Reforged,2015-01-23,Gurmag Angler,25,72,{6}{B},Creature — Zombie Fish,common,0.19
Fate Reforged,2015-01-23,Jungle Hollow,9,169,,Land,common,0.07
Fate Reforged,2015-01-23,Scoured Barrens,11,171,,Land,common,0.09
Fate Reforged,2015-01-23,Swiftwater Cliffs,10,172,,Land,common,0.05
Fate Reforged,2015-01-23,Thornwood Falls,9,173,,Land,common,0.06
Tempest Remastered,2015-05-06,Volrath's Curse,2,77,{1}{U},Enchantment — Aura,uncommon,
Modern Masters 2015,2015-05-22,Mulldrifter,29,51,{4}{U},Creature — Elemental,uncommon,0.33
Modern Masters 2015,2015-05-22,Reassembling Skeleton,3,92,{1}{B},Creature — Skeleton Warrior,uncommon,0.28
Modern Masters 2015,2015-05-22,Burst Lightning,19,109,{R},Instant,common,0.15
Modern Masters 2015,2015-05-22,Cranial Plating,9,206,{2},Artifact — Equipment,uncommon,0.26
Modern Masters 2015,2015-05-22,Azorius Chancery,23,235,,Land,uncommon,0.13
Modern Masters 2015,2015-05-22,Boros Garrison,23,237,,Land,uncommon,0.17
Modern Masters 2015,2015-05-22,Dimir Aqueduct,24,239,,Land,uncommon,0.21
Modern Masters 2015,2015-05-22,Golgari Rot Farm,23,243,,Land,uncommon,0.30
Modern Masters 2015,2015-05-22,Gruul Turf,23,244,,Land,uncommon,0.24
Modern Masters 2015,2015-05-22,Izzet Boilerworks,27,245,,Land,uncommon,0.25
Modern Masters 2015,2015-05-22,Orzhov Basilica,23,246,,Land,uncommon,0.27
Modern Masters 2015,2015-05-22,Rakdos Carnarium,23,247,,Land,uncommon,0.25
Modern Masters 2015,2015-05-22,Selesnya Sanctuary,23,248,,Land,uncommon,0.23
Modern Masters 2015,2015-05-22,Simic Growth Chamber,23,249,,Land,uncommon,0.42
Duel Decks: Zendikar vs. Eldrazi,2015-08-28,Vampire Nighthawk,3,58,{1}{B}{B},Creature — Vampire Shaman,uncommon,0.23
Duel Decks: Zendikar vs. Eldrazi,2015-08-28,Mind Stone,23,65,{2},Artifact,uncommon,0.39
Commander 2015,2015-11-13,Seal of Cleansing,1,79,{1}{W},Enchantment,common,0.16
Commander 2015,2015-11-13,Fact or Fiction,5,94,{3}{U},Instant,uncommon,0.25
Commander 2015,2015-11-13,Mulldrifter,29,97,{4}{U},Creature — Elemental,uncommon,0.27
Commander 2015,2015-11-13,Ninja of the Deep Hours,27,99,{3}{U},Creature — Human Ninja,common,2.89
Commander 2015,2015-11-13,Faithless Looting,23,153,{R},Sorcery,common,0.65
Commander 2015,2015-11-13,Satyr Wayfinder,8,201,{1}{G},Creature — Satyr,common,0.16
Commander 2015,2015-11-13,Loxodon Warhammer,3,258,{3},Artifact — Equipment,rare,0.32
Commander 2015,2015-11-13,Mind Stone,23,259,{2},Artifact,uncommon,0.34
Commander 2015,2015-11-13,Boros Garrison,23,279,,Land,common,0.19
Commander 2015,2015-11-13,Golgari Rot Farm,23,287,,Land,common,0.27
Commander 2015,2015-11-13,Izzet Boilerworks,27,290,,Land,common,0.22
Commander 2015,2015-11-13,Jungle Hollow,9,292,,Land,common,0.18
Commander 2015,2015-11-13,Orzhov Basilica,23,298,,Land,common,0.15
Commander 2015,2015-11-13,Scoured Barrens,11,303,,Land,common,0.18
Commander 2015,2015-11-13,Simic Growth Chamber,23,305,,Land,common,0.23
Commander 2015,2015-11-13,Swiftwater Cliffs,10,310,,Land,common,0.14
Commander 2015,2015-11-13,Thornwood Falls,9,315,,Land,common,0.30
Legendary Cube Prize Pack,2015-11-18,Compulsive Research,15,21,{2}{U},Sorcery,uncommon,
Legendary Cube Prize Pack,2015-11-18,Fact or Fiction,5,25,{3}{U},Instant,uncommon,
Legendary Cube Prize Pack,2015-11-18,Faithless Looting,23,59,{R},Sorcery,uncommon,
Legendary Cube Prize Pack,2015-11-18,Rancor,28,85,{G},Enchantment — Aura,uncommon,
Oath of the Gatewatch,2016-01-22,Baloth Null,4,152,{4}{B}{G},Creature — Zombie Beast,uncommon,0.06
Shadows over Innistrad,2016-04-08,Gryff's Boon,3,20,{W},Enchantment — Aura,uncommon,0.15
Eternal Masters,2016-06-10,Seal of Cleansing,1,26,{1}{W},Enchantment,common,0.15
Eternal Masters,2016-06-10,Fact or Fiction,5,48,{3}{U},Instant,uncommon,0.25
Eternal Masters,2016-06-10,Night's Whisper,18,100,{1}{B},Sorcery,common,1.37
Eternal Masters,2016-06-10,Faithless Looting,23,128,{R},Sorcery,common,0.30
Eternal Masters,2016-06-10,Firebolt,23,130,{R},Sorcery,common,0.06
