Set,Release Date,Set Type,Card Name,Card No.,Mana Cost,Type,Rarity,Price
Limited Edition Beta,1993-10-04,core,Steal Artifact,82,{2}{U}{U},Enchantment — Aura,uncommon,36.43
Limited Edition Beta,1993-10-04,core,Unsummon,87,{U},Instant,common,15.22
Limited Edition Beta,1993-10-04,core,Animate Dead,93,{1}{B},Enchantment — Aura,uncommon,345.29
Limited Edition Beta,1993-10-04,core,Dark Ritual,99,{B},Instant,common,159.04
Limited Edition Beta,1993-10-04,core,Demonic Tutor,105,{1}{B},Sorcery,uncommon,772.50
Limited Edition Beta,1993-10-04,core,Drain Life,106,{X}{1}{B},Sorcery,common,27.76
Limited Edition Beta,1993-10-04,core,Hypnotic Specter,113,{1}{B}{B},Creature — Specter,uncommon,499.99
Limited Edition Beta,1993-10-04,core,Paralyze,120,{B},Enchantment — Aura,common,13.21
Limited Edition Beta,1993-10-04,core,Pestilence,121,{2}{B}{B},Enchantment,common,24.76
Limited Edition Beta,1993-10-04,core,Sinkhole,130,{B}{B},Sorcery,common,86.99
Limited Edition Beta,1993-10-04,core,Terror,131,{1}{B},Instant,common,43.74
Limited Edition Beta,1993-10-04,core,Warp Artifact,134,{B}{B},Enchantment — Aura,rare,99.99
Limited Edition Beta,1993-10-04,core,Disintegrate,141,{X}{R},Sorcery,common,21.57
Limited Edition Beta,1993-10-04,core,Fireball,150,{X}{R},Sorcery,common,31.02
Limited Edition Beta,1993-10-04,core,Lightning Bolt,162,{R},Instant,common,519.76
Limited Edition Beta,1993-10-04,core,Orcish Oriflamme,167,{3}{R},Enchantment,uncommon,39.50
Limited Edition Beta,1993-10-04,core,Red Elemental Blast,170,{R},Instant,common,114.06
Limited Edition Beta,1993-10-04,core,Berserk,186,{G},Instant,uncommon,110.49
Limited Edition Beta,1993-10-04,core,Giant Growth,198,{G},Instant,common,32.49
Limited Edition Beta,1993-10-04,core,Living Artifact,209,{G},Enchantment — Aura,rare,73.24
Limited Edition Beta,1993-10-04,core,Llanowar Elves,211,{G},Creature — Elf Druid,common,113.33
Limited Edition Beta,1993-10-04,core,Regrowth,215,{1}{G},Sorcery,uncommon,163.84
Limited Edition Beta,1993-10-04,core,Wild Growth,230,{G},Enchantment — Aura,common,34.90
Limited Edition Beta,1993-10-04,core,Disrupting Scepter,243,{3},Artifact,rare,190.00
Limited Edition Beta,1993-10-04,core,Icy Manipulator,249,{4},Artifact,uncommon,249.47
Limited Edition Beta,1993-10-04,core,Juggernaut,256,{4},Artifact Creature — Juggernaut,uncommon,112.88
Unlimited Edition,1993-12-01,core,Disenchant,19,{1}{W},Instant,common,5.49
Unlimited Edition,1993-12-01,core,Savannah Lions,39,{W},Creature — Cat,rare,194.99
Unlimited Edition,1993-12-01,core,Serra Angel,40,{3}{W}{W},Creature — Angel,uncommon,77.10
Unlimited Edition,1993-12-01,core,Swords to Plowshares,41,{W},Instant,uncommon,72.11
Unlimited Edition,1993-12-01,core,Animate Artifact,49,{3}{U},Enchantment — Aura,uncommon,3.25
Unlimited Edition,1993-12-01,core,Clone,52,{3}{U},Creature — Shapeshifter,uncommon,13.04
Unlimited Edition,1993-12-01,core,Control Magic,53,{2}{U}{U},Enchantment — Aura,uncommon,18.29
Unlimited Edition,1993-12-01,core,Copy Artifact,54,{1}{U},Enchantment,rare,219.99
Unlimited Edition,1993-12-01,core,Counterspell,55,{U}{U},Instant,uncommon,85.03
Unlimited Edition,1993-12-01,core,Magical Hack,64,{U},Instant,rare,45.48
Unlimited Edition,1993-12-01,core,Power Sink,73,{X}{U},Instant,common,1.15
Unlimited Edition,1993-12-01,core,Psionic Blast,75,{2}{U},Instant,uncommon,46.19
Unlimited Edition,1993-12-01,core,Steal Artifact,82,{2}{U}{U},Enchantment — Aura,uncommon,3.65
Unlimited Edition,1993-12-01,core,Unsummon,87,{U},Instant,common,0.98
Unlimited Edition,1993-12-01,core,Animate Dead,93,{1}{B},Enchantment — Aura,uncommon,22.90
Unlimited Edition,1993-12-01,core,Dark Ritual,99,{B},Instant,common,16.56
Unlimited Edition,1993-12-01,core,Demonic Tutor,105,{1}{B},Sorcery,uncommon,117.78
Unlimited Edition,1993-12-01,core,Drain Life,106,{X}{1}{B},Sorcery,common,2.25
Unlimited Edition,1993-12-01,core,Hypnotic Specter,113,{1}{B}{B},Creature — Specter,uncommon,53.33
Unlimited Edition,1993-12-01,core,Paralyze,120,{B},Enchantment — Aura,common,1.05
Unlimited Edition,1993-12-01,core,Pestilence,121,{2}{B}{B},Enchantment,common,1.41
Unlimited Edition,1993-12-01,core,Sinkhole,130,{B}{B},Sorcery,common,31.01
Unlimited Edition,1993-12-01,core,Terror,131,{1}{B},Instant,common,3.45
Unlimited Edition,1993-12-01,core,Warp Artifact,134,{B}{B},Enchantment — Aura,rare,16.17
Unlimited Edition,1993-12-01,core,Disintegrate,141,{X}{R},Sorcery,common,1.72
Unlimited Edition,1993-12-01,core,Fireball,150,{X}{R},Sorcery,common,4.67
Unlimited Edition,1993-12-01,core,Lightning Bolt,162,{R},Instant,common,23.96
Unlimited Edition,1993-12-01,core,Orcish Oriflamme,167,{3}{R},Enchantment,uncommon,4.37
Unlimited Edition,1993-12-01,core,Red Elemental Blast,170,{R},Instant,common,8.80
Unlimited Edition,1993-12-01,core,Berserk,186,{G},Instant,uncommon,112.22
Unlimited Edition,1993-12-01,core,Giant Growth,198,{G},Instant,common,2.33
Unlimited Edition,1993-12-01,core,Living Artifact,209,{G},Enchantment — Aura,rare,23.36
Unlimited Edition,1993-12-01,core,Llanowar Elves,211,{G},Creature — Elf Druid,common,14.71
Unlimited Edition,1993-12-01,core,Regrowth,215,{1}{G},Sorcery,uncommon,18.55
Unlimited Edition,1993-12-01,core,Wild Growth,230,{G},Enchantment — Aura,common,3.61
Unlimited Edition,1993-12-01,core,Disrupting Scepter,243,{3},Artifact,rare,97.00
Unlimited Edition,1993-12-01,core,Icy Manipulator,249,{4},Artifact,uncommon,152.09
Unlimited Edition,1993-12-01,core,Juggernaut,256,{4},Artifact Creature — Juggernaut,uncommon,13.42
Arabian Nights,1993-12-17,expansion,Dandân,12,{U}{U},Creature — Fish,common,26.09
Arabian Nights,1993-12-17,expansion,Serendib Efreet,20,{2}{U},Creature — Efreet,rare,412.92
Arabian Nights,1993-12-17,expansion,Cuombajj Witches,23,{B}{B},Creature — Human Wizard,common,10.33
Arabian Nights,1993-12-17,expansion,Oubliette,31,{1}{B}{B},Enchantment,common,37.67
Arabian Nights,1993-12-17,expansion,Desert Nomads,38,{2}{R},Creature — Human Nomad,common,5.91
Arabian Nights,1993-12-17,expansion,Kird Ape,40,{R},Creature — Ape,common,11.49
Arabian Nights,1993-12-17,expansion,Rukh Egg,43,{3}{R},Creature — Bird Egg,common,28.43
Arabian Nights,1993-12-17,expansion,Cyclone,45,{2}{G}{G},Enchantment,uncommon,23.73
Arabian Nights,1993-12-17,expansion,Desert Twister,46,{4}{G}{G},Sorcery,uncommon,58.01
Arabian Nights,1993-12-17,expansion,City of Brass,71,,Land,uncommon,539.99
Arabian Nights,1993-12-17,expansion,Desert,72,,Land — Desert,common,11.66
Antiquities,1994-03-04,expansion,Artifact Ward,3,{W},Enchantment — Aura,common,0.50
Antiquities,1994-03-04,expansion,Circle of Protection: Artifacts,4,{1}{W},Enchantment,uncommon,4.78
Antiquities,1994-03-04,expansion,Power Artifact,11,{U}{U},Enchantment — Aura,uncommon,216.72
Antiquities,1994-03-04,expansion,Sage of Lat-Nam,13,{1}{U},Creature — Human Artificer,common,1.80
Antiquities,1994-03-04,expansion,Transmute Artifact,14,{U}{U},Sorcery,uncommon,251.00
Antiquities,1994-03-04,expansion,Artifact Possession,15,{2}{B},Enchantment — Aura,common,0.41
Antiquities,1994-03-04,expansion,Artifact Blast,22,{R},Instant,common,1.19
Antiquities,1994-03-04,expansion,Atog,23,{1}{R},Creature — Atog,common,2.29
Antiquities,1994-03-04,expansion,Ashnod's Altar,38,{3},Artifact,uncommon,32.37
Antiquities,1994-03-04,expansion,Feldon's Cane,50,{1},Artifact,uncommon,10.16
Antiquities,1994-03-04,expansion,Grapeshot Catapult,52,{4},Artifact Creature — Construct,common,0.56
Antiquities,1994-03-04,expansion,Jalum Tome,54,{3},Artifact,uncommon,12.05
Antiquities,1994-03-04,expansion,Mightstone,55,{4},Artifact,uncommon,7.56
Antiquities,1994-03-04,expansion,Obelisk of Undoing,58,{1},Artifact,rare,17.69
Antiquities,1994-03-04,expansion,Ornithopter,60,{0},Artifact Creature — Thopter,common,6.62
Antiquities,1994-03-04,expansion,Urza's Miter,76,{3},Artifact,rare,31.30
Antiquities,1994-03-04,expansion,Mishra's Factory,80a,,Land,uncommon,64.91
Antiquities,1994-03-04,expansion,Strip Mine,82a,,Land,uncommon,56.43
Antiquities,1994-03-04,expansion,Urza's Tower,85a,,Land — Urza's Tower,common,12.04
Revised Edition,1994-04-01,core,Disenchant,17,{1}{W},Instant,common,0.26
Revised Edition,1994-04-01,core,Savannah Lions,39,{W},Creature — Cat,rare,4.24
Revised Edition,1994-04-01,core,Serra Angel,40,{3}{W}{W},Creature — Angel,uncommon,3.94
Revised Edition,1994-04-01,core,Swords to Plowshares,41,{W},Instant,uncommon,3.43
Revised Edition,1994-04-01,core,Animate Artifact,48,{3}{U},Enchantment — Aura,uncommon,0.22
Revised Edition,1994-04-01,core,Clone,51,{3}{U},Creature — Shapeshifter,uncommon,1.13
Revised Edition,1994-04-01,core,Control Magic,52,{2}{U}{U},Enchantment — Aura,uncommon,0.73
Revised Edition,1994-04-01,core,Copy Artifact,53,{1}{U},Enchantment,rare,43.99
Revised Edition,1994-04-01,core,Counterspell,54,{U}{U},Instant,uncommon,2.94
Revised Edition,1994-04-01,core,Magical Hack,65,{U},Instant,rare,1.24
Revised Edition,1994-04-01,core,Power Sink,74,{X}{U},Instant,common,0.20
Revised Edition,1994-04-01,core,Serendib Efreet,79,{2}{U},Creature — Efreet,rare,4.01
Revised Edition,1994-04-01,core,Steal Artifact,84,{2}{U}{U},Enchantment — Aura,uncommon,0.23
Revised Edition,1994-04-01,core,Unsummon,87,{U},Instant,common,0.18
Revised Edition,1994-04-01,core,Animate Dead,93,{1}{B},Enchantment — Aura,uncommon,5.05
Revised Edition,1994-04-01,core,Dark Ritual,99,{B},Instant,common,1.12
Revised Edition,1994-04-01,core,Demonic Tutor,105,{1}{B},Sorcery,uncommon,34.52
Revised Edition,1994-04-01,core,Drain Life,106,{X}{1}{B},Sorcery,common,0.16
Revised Edition,1994-04-01,core,Hypnotic Specter,115,{1}{B}{B},Creature — Specter,uncommon,2.38
Revised Edition,1994-04-01,core,Paralyze,121,{B},Enchantment — Aura,common,0.19
Revised Edition,1994-04-01,core,Pestilence,122,{2}{B}{B},Enchantment,common,0.34
Revised Edition,1994-04-01,core,Terror,132,{1}{B},Instant,common,0.20
Revised Edition,1994-04-01,core,Warp Artifact,135,{B}{B},Enchantment — Aura,rare,0.54
Revised Edition,1994-04-01,core,Atog,139,{1}{R},Creature — Atog,common,0.14
Revised Edition,1994-04-01,core,Disintegrate,142,{X}{R},Sorcery,common,0.24
Revised Edition,1994-04-01,core,Fireball,150,{X}{R},Sorcery,common,0.31
Revised Edition,1994-04-01,core,Kird Ape,161,{R},Creature — Ape,common,0.24
Revised Edition,1994-04-01,core,Lightning Bolt,162,{R},Instant,common,1.80
Revised Edition,1994-04-01,core,Orcish Oriflamme,169,{3}{R},Enchantment,uncommon,0.22
Revised Edition,1994-04-01,core,Red Elemental Blast,171,{R},Instant,common,1.96
Revised Edition,1994-04-01,core,Desert Twister,192,{4}{G}{G},Sorcery,uncommon,0.37
Revised Edition,1994-04-01,core,Giant Growth,199,{G},Instant,common,0.17
Revised Edition,1994-04-01,core,Living Artifact,209,{G},Enchantment — Aura,rare,0.43
Revised Edition,1994-04-01,core,Llanowar Elves,211,{G},Creature — Elf Druid,common,0.32
Revised Edition,1994-04-01,core,Regrowth,214,{1}{G},Sorcery,uncommon,0.56
Revised Edition,1994-04-01,core,Wild Growth,230,{G},Enchantment — Aura,common,0.27
Revised Edition,1994-04-01,core,Disrupting Scepter,245,{3},Artifact,rare,1.05
Revised Edition,1994-04-01,core,Juggernaut,259,{4},Artifact Creature — Juggernaut,uncommon,1.45
Revised Edition,1994-04-01,core,Ornithopter,270,{0},Artifact Creature — Thopter,uncommon,0.33
Legends,1994-06-01,expansion,Divine Offering,9,{1}{W},Instant,common,0.57
Legends,1994-06-01,expansion,Tundra Wolves,40,{W},Creature — Wolf,common,0.46
Legends,1994-06-01,expansion,Boomerang,48,{U}{U},Instant,common,0.95
Legends,1994-06-01,expansion,Flash Flood,57,{U},Instant,common,0.31
Legends,1994-06-01,expansion,Force Spike,58,{U},Instant,common,1.68
Legends,1994-06-01,expansion,Gaseous Form,59,{2}{U},Enchantment — Aura,common,0.40
Legends,1994-06-01,expansion,Remove Soul,72,{1}{U},Instant,common,0.26
Legends,1994-06-01,expansion,Telekinesis,79,{U}{U},Instant,rare,55.62
Legends,1994-06-01,expansion,Aerathi Berserker,131,{2}{R}{R}{R},Creature — Human Berserker,uncommon,4.40
Legends,1994-06-01,expansion,Chain Lightning,137,{R},Sorcery,common,8.27
Legends,1994-06-01,expansion,Pyrotechnics,161,{4}{R},Sorcery,common,0.45
Legends,1994-06-01,expansion,Wall of Dust,168,{2}{R},Creature — Wall,uncommon,3.12
Legends,1994-06-01,expansion,Lady Evangela,240,{W}{U}{B},Legendary Creature — Human Cleric,rare,61.99
Summer Magic / Edgar,1994-06-21,core,Disenchant,17,{1}{W},Instant,common,
Summer Magic / Edgar,1994-06-21,core,Savannah Lions,39,{W},Creature — Cat,rare,
Summer Magic / Edgar,1994-06-21,core,Serra Angel,40,{3}{W}{W},Creature — Angel,uncommon,
Summer Magic / Edgar,1994-06-21,core,Swords to Plowshares,41,{W},Instant,uncommon,
Summer Magic / Edgar,1994-06-21,core,Animate Artifact,48,{3}{U},Enchantment — Aura,uncommon,
Summer Magic / Edgar,1994-06-21,core,Clone,51,{3}{U},Creature — Shapeshifter,uncommon,
Summer Magic / Edgar,1994-06-21,core,Control Magic,52,{2}{U}{U},Enchantment — Aura,uncommon,
Summer Magic / Edgar,1994-06-21,core,Copy Artifact,53,{1}{U},Enchantment,rare,
Summer Magic / Edgar,1994-06-21,core,Counterspell,54,{U}{U},Instant,uncommon,
Summer Magic / Edgar,1994-06-21,core,Magical Hack,65,{U},Instant,rare,
Summer Magic / Edgar,1994-06-21,core,Power Sink,74,{X}{U},Instant,common,
Summer Magic / Edgar,1994-06-21,core,Serendib Efreet,79,{2}{U},Creature — Efreet,rare,
Summer Magic / Edgar,1994-06-21,core,Steal Artifact,84,{2}{U}{U},Enchantment — Aura,uncommon,
Summer Magic / Edgar,1994-06-21,core,Unsummon,87,{U},Instant,common,
Summer Magic / Edgar,1994-06-21,core,Animate Dead,93,{1}{B},Enchantment — Aura,uncommon,
Summer Magic / Edgar,1994-06-21,core,Dark Ritual,99,{B},Instant,common,
Summer Magic / Edgar,1994-06-21,core,Demonic Tutor,105,{1}{B},Sorcery,uncommon,
Summer Magic / Edgar,1994-06-21,core,Drain Life,106,{X}{1}{B},Sorcery,common,
Summer Magic / Edgar,1994-06-21,core,Hypnotic Specter,115,{1}{B}{B},Creature — Specter,uncommon,
Summer Magic / Edgar,1994-06-21,core,Paralyze,121,{B},Enchantment — Aura,common,
Summer Magic / Edgar,1994-06-21,core,Pestilence,122,{2}{B}{B},Enchantment,common,
Summer Magic / Edgar,1994-06-21,core,Terror,132,{1}{B},Instant,common,
Summer Magic / Edgar,1994-06-21,core,Warp Artifact,135,{B}{B},Enchantment — Aura,rare,
Summer Magic / Edgar,1994-06-21,core,Atog,139,{1}{R},Creature — Atog,common,
Summer Magic / Edgar,1994-06-21,core,Disintegrate,142,{X}{R},Sorcery,common,
Summer Magic / Edgar,1994-06-21,core,Fireball,150,{X}{R},Sorcery,common,
Summer Magic / Edgar,1994-06-21,core,Kird Ape,161,{R},Creature — Ape,common,
Summer Magic / Edgar,1994-06-21,core,Lightning Bolt,162,{R},Instant,common,
Summer Magic / Edgar,1994-06-21,core,Orcish Oriflamme,169,{3}{R},Enchantment,uncommon,
Summer Magic / Edgar,1994-06-21,core,Red Elemental Blast,171,{R},Instant,common,
Summer Magic / Edgar,1994-06-21,core,Desert Twister,192,{4}{G}{G},Sorcery,uncommon,
Summer Magic / Edgar,1994-06-21,core,Giant Growth,199,{G},Instant,common,
Summer Magic / Edgar,1994-06-21,core,Living Artifact,209,{G},Enchantment — Aura,rare,
Summer Magic / Edgar,1994-06-21,core,Llanowar Elves,211,{G},Creature — Elf Druid,common,
Summer Magic / Edgar,1994-06-21,core,Regrowth,214,{1}{G},Sorcery,uncommon,
Summer Magic / Edgar,1994-06-21,core,Wild Growth,230,{G},Enchantment — Aura,common,
Summer Magic / Edgar,1994-06-21,core,Disrupting Scepter,245,{3},Artifact,rare,
Summer Magic / Edgar,1994-06-21,core,Juggernaut,259,{4},Artifact Creature — Juggernaut,uncommon,
Summer Magic / Edgar,1994-06-21,core,Ornithopter,270,{0},Artifact Creature — Thopter,uncommon,
The Dark,1994-08-01,expansion,Dust to Dust,5,{1}{W}{W},Sorcery,common,5.79
The Dark,1994-08-01,expansion,Apprentice Wizard,21,{1}{U}{U},Creature — Human Wizard,rare,10.52
The Dark,1994-08-01,expansion,Flood,27,{U},Enchantment,uncommon,1.68
The Dark,1994-08-01,expansion,Sunken City,36,{U}{U},Enchantment,common,0.25
The Dark,1994-08-01,expansion,Ashes to Ashes,39,{1}{B}{B},Sorcery,common,0.25
The Dark,1994-08-01,expansion,Curse Artifact,43,{2}{B}{B},Enchantment — Aura,uncommon,0.98
The Dark,1994-08-01,expansion,Goblin Caves,64,{1}{R}{R},Enchantment — Aura,common,0.41
The Dark,1994-08-01,expansion,Goblin Shrine,68,{1}{R}{R},Enchantment — Aura,common,0.23
The Dark,1994-08-01,expansion,Elves of Deep Shadow,76,{G},Creature — Elf Druid,uncommon,15.37
The Dark,1994-08-01,expansion,Gaea's Touch,77,{G}{G},Enchantment,common,1.35
The Dark,1994-08-01,expansion,Fellwar Stone,102,{2},Artifact,uncommon,12.80
The Dark,1994-08-01,expansion,Maze of Ith,117,,Land,uncommon,24.94
Fallen Empires,1994-11-01,expansion,Farrel's Zealot,3a,{1}{W}{W},Creature — Human,common,0.18
Fallen Empires,1994-11-01,expansion,Icatian Javelineers,8a,{W},Creature — Human Soldier,common,0.22
Fallen Empires,1994-11-01,expansion,High Tide,18a,{U},Instant,common,0.59
Fallen Empires,1994-11-01,expansion,Hymn to Tourach,38a,{B}{B},Sorcery,common,0.56
Fallen Empires,1994-11-01,expansion,Goblin Grenade,56a,{R},Sorcery,common,0.34
Fallen Empires,1994-11-01,expansion,Goblin War Drums,58a,{2}{R},Enchantment,common,0.25
Fallen Empires,1994-11-01,expansion,Night Soil,71a,{G}{G},Enchantment,common,0.24
Fallen Empires,1994-11-01,expansion,Aeolipile,81,{2},Artifact,rare,1.55
Fourth Edition,1995-04-01,core,Circle of Protection: Artifacts,13,{1}{W},Enchantment,uncommon,0.21
Fourth Edition,1995-04-01,core,Disenchant,22,{1}{W},Instant,common,0.11
Fourth Edition,1995-04-01,core,Savannah Lions,48,{W},Creature — Cat,rare,1.55
Fourth Edition,1995-04-01,core,Serra Angel,50,{3}{W}{W},Creature — Angel,uncommon,1.06
Fourth Edition,1995-04-01,core,Swords to Plowshares,52,{W},Instant,uncommon,1.74
Fourth Edition,1995-04-01,core,Tundra Wolves,53,{W},Creature — Wolf,common,0.09
Fourth Edition,1995-04-01,core,Animate Artifact,60,{3}{U},Enchantment — Aura,uncommon,0.13
Fourth Edition,1995-04-01,core,Apprentice Wizard,61,{1}{U}{U},Creature — Human Wizard,common,0.10
Fourth Edition,1995-04-01,core,Control Magic,64,{2}{U}{U},Enchantment — Aura,uncommon,0.64
Fourth Edition,1995-04-01,core,Counterspell,65,{U}{U},Instant,uncommon,1.77
Fourth Edition,1995-04-01,core,Flood,73,{U},Enchantment,common,0.12
Fourth Edition,1995-04-01,core,Gaseous Form,74,{2}{U},Enchantment — Aura,common,0.05
Fourth Edition,1995-04-01,core,Magical Hack,83,{U},Instant,rare,0.96
Fourth Edition,1995-04-01,core,Power Sink,93,{X}{U},Instant,common,0.10
Fourth Edition,1995-04-01,core,Steal Artifact,105,{2}{U}{U},Enchantment — Aura,uncommon,0.14
Fourth Edition,1995-04-01,core,Sunken City,106,{U}{U},Enchantment,common,0.06
Fourth Edition,1995-04-01,core,Unsummon,111,{U},Instant,common,0.07
Fourth Edition,1995-04-01,core,Animate Dead,118,{1}{B},Enchantment — Aura,uncommon,5.11
Fourth Edition,1995-04-01,core,Ashes to Ashes,119,{1}{B}{B},Sorcery,uncommon,0.27
Fourth Edition,1995-04-01,core,Dark Ritual,129,{B},Instant,common,2.56
Fourth Edition,1995-04-01,core,Drain Life,132,{X}{1}{B},Sorcery,common,0.17
Fourth Edition,1995-04-01,core,Hypnotic Specter,142,{1}{B}{B},Creature — Specter,uncommon,2.03
Fourth Edition,1995-04-01,core,Paralyze,151,{B},Enchantment — Aura,common,0.07
Fourth Edition,1995-04-01,core,Pestilence,152,{2}{B}{B},Enchantment,common,0.23
Fourth Edition,1995-04-01,core,Terror,164,{1}{B},Instant,common,0.13
Fourth Edition,1995-04-01,core,Warp Artifact,169,{B}{B},Enchantment — Aura,rare,0.20
Fourth Edition,1995-04-01,core,Disintegrate,185,{X}{R},Sorcery,common,0.13
Fourth Edition,1995-04-01,core,Fireball,192,{X}{R},Sorcery,common,0.18
Fourth Edition,1995-04-01,core,Lightning Bolt,208,{R},Instant,common,1.19
Fourth Edition,1995-04-01,core,Orcish Oriflamme,215,{3}{R},Enchantment,uncommon,0.14
Fourth Edition,1995-04-01,core,Pyrotechnics,217,{4}{R},Sorcery,uncommon,0.10
Fourth Edition,1995-04-01,core,Red Elemental Blast,218,{R},Instant,common,1.83
Fourth Edition,1995-04-01,core,Wall of Dust,229,{2}{R},Creature — Wall,uncommon,0.15
Fourth Edition,1995-04-01,core,Desert Twister,240,{4}{G}{G},Sorcery,uncommon,0.09
Fourth Edition,1995-04-01,core,Giant Growth,248,{G},Instant,common,0.08
Fourth Edition,1995-04-01,core,Living Artifact,259,{G},Enchantment — Aura,rare,0.28
Fourth Edition,1995-04-01,core,Llanowar Elves,261,{G},Creature — Elf Druid,common,0.34
Fourth Edition,1995-04-01,core,Wild Growth,289,{G},Enchantment — Aura,common,0.25
Fourth Edition,1995-04-01,core,Disrupting Scepter,316,{3},Artifact,rare,0.30
Fourth Edition,1995-04-01,core,Fellwar Stone,319,{2},Artifact,uncommon,1.53
Fourth Edition,1995-04-01,core,Grapeshot Catapult,322,{4},Artifact Creature — Construct,common,0.04
Fourth Edition,1995-04-01,core,Ornithopter,341,{0},Artifact Creature — Thopter,uncommon,0.29
