Set,Release Date,Card Name,# Cubes,Card No.,Mana Cost,Type,Rarity,Price
Collectors' Edition,1993-12-10,Lightning Bolt,28,162,{R},Instant,common,51.49
Intl. Collectors' Edition,1993-12-10,Giant Growth,11,198,{G},Instant,common,9.36
Collectors' Edition,1993-12-10,Giant Growth,11,198,{G},Instant,common,5.25
Intl. Collectors' Edition,1993-12-10,Llanowar Elves,28,211,{G},Creature — Elf Druid,common,
Collectors' Edition,1993-12-10,Llanowar Elves,28,211,{G},Creature — Elf Druid,common,26.73
Arabian Nights,1993-12-17,Desert,14,72,,Land — Desert,common,11.66
Revised Edition,1994-04-01,Savannah Lions,12,39,{W},Creature — Cat,rare,4.24
Foreign Black Border,1994-04-01,Savannah Lions,12,39,{W},Creature — Cat,rare,
Revised Edition,1994-04-01,Counterspell,29,54,{U}{U},Instant,uncommon,2.94
Foreign Black Border,1994-04-01,Counterspell,29,54,{U}{U},Instant,uncommon,45.00
Revised Edition,1994-04-01,Pestilence,19,122,{2}{B}{B},Enchantment,common,0.34
Foreign Black Border,1994-04-01,Pestilence,19,122,{2}{B}{B},Enchantment,common,
Revised Edition,1994-04-01,Fireball,12,150,{X}{R},Sorcery,common,0.31
Foreign Black Border,1994-04-01,Fireball,12,150,{X}{R},Sorcery,common,5.97
Revised Edition,1994-04-01,Lightning Bolt,28,162,{R},Instant,common,1.80
Foreign Black Border,1994-04-01,Lightning Bolt,28,162,{R},Instant,common,15.00
Revised Edition,1994-04-01,Giant Growth,11,199,{G},Instant,common,0.17
Foreign Black Border,1994-04-01,Giant Growth,11,199,{G},Instant,common,2.00
Revised Edition,1994-04-01,Llanowar Elves,28,211,{G},Creature — Elf Druid,common,0.32
Foreign Black Border,1994-04-01,Llanowar Elves,28,211,{G},Creature — Elf Druid,common,12.95
Legends,1994-06-01,Remove Soul,7,72,{1}{U},Instant,common,0.26
Legends,1994-06-01,Chain Lightning,21,137,{R},Sorcery,common,8.27
Summer Magic / Edgar,1994-06-21,Savannah Lions,12,39,{W},Creature — Cat,rare,
Summer Magic / Edgar,1994-06-21,Counterspell,29,54,{U}{U},Instant,uncommon,
Summer Magic / Edgar,1994-06-21,Pestilence,19,122,{2}{B}{B},Enchantment,common,
Summer Magic / Edgar,1994-06-21,Fireball,12,150,{X}{R},Sorcery,common,
Summer Magic / Edgar,1994-06-21,Lightning Bolt,28,162,{R},Instant,common,
Summer Magic / Edgar,1994-06-21,Giant Growth,11,199,{G},Instant,common,
Summer Magic / Edgar,1994-06-21,Llanowar Elves,28,211,{G},Creature — Elf Druid,common,
The Dark,1994-08-01,Ashes to Ashes,13,39,{1}{B}{B},Sorcery,common,0.25
Fourth Edition,1995-04-01,Savannah Lions,12,48,{W},Creature — Cat,rare,1.55
Fourth Edition Foreign Black Border,1995-04-01,Savannah Lions,12,48,{W},Creature — Cat,rare,35.99
Fourth Edition,1995-04-01,Counterspell,29,65,{U}{U},Instant,uncommon,1.77
Fourth Edition Foreign Black Border,1995-04-01,Counterspell,29,65,{U}{U},Instant,uncommon,38.49
Fourth Edition,1995-04-01,Ashes to Ashes,13,119,{1}{B}{B},Sorcery,uncommon,0.27
Fourth Edition Foreign Black Border,1995-04-01,Ashes to Ashes,13,119,{1}{B}{B},Sorcery,uncommon,
Fourth Edition,1995-04-01,Pestilence,19,152,{2}{B}{B},Enchantment,common,0.23
Fourth Edition Foreign Black Border,1995-04-01,Pestilence,19,152,{2}{B}{B},Enchantment,common,3.00
Fourth Edition,1995-04-01,Fireball,12,192,{X}{R},Sorcery,common,0.18
Fourth Edition Foreign Black Border,1995-04-01,Fireball,12,192,{X}{R},Sorcery,common,2.20
Fourth Edition,1995-04-01,Lightning Bolt,28,208,{R},Instant,common,1.14
Fourth Edition Foreign Black Border,1995-04-01,Lightning Bolt,28,208,{R},Instant,common,24.99
Fourth Edition,1995-04-01,Giant Growth,11,248,{G},Instant,common,0.08
Fourth Edition Foreign Black Border,1995-04-01,Giant Growth,11,248,{G},Instant,common,6.29
Fourth Edition,1995-04-01,Llanowar Elves,28,261,{G},Creature — Elf Druid,common,0.34
Fourth Edition Foreign Black Border,1995-04-01,Llanowar Elves,28,261,{G},Creature — Elf Druid,common,11.48
Ice Age,1995-06-03,Counterspell,29,64,{U}{U},Instant,common,1.58
Ice Age,1995-06-03,Incinerate,18,194,{1}{R},Instant,common,0.24
Ice Age,1995-06-03,Fyndhorn Elves,18,244,{G},Creature — Elf Druid,common,3.85
Ice Age,1995-06-03,Giant Growth,11,246,{G},Instant,common,0.13
Ice Age,1995-06-03,Nature's Lore,6,255,{1}{G},Sorcery,uncommon,1.92
Chronicles,1995-07-01,Remove Soul,7,25,{1}{U},Instant,common,0.06
Chronicles Foreign Black Border,1995-07-01,Remove Soul,7,25,{1}{U},Instant,common,
Media Inserts,1995-08-01,Fireball,12,4,{X}{R},Sorcery,common,0.73
Renaissance,1995-08-01,Ashes to Ashes,13,47,{1}{B}{B},Sorcery,common,
Homelands,1995-10-01,Serrated Arrows,21,110,{4},Artifact,common,0.30
Pro Tour Collector Set,1996-05-01,Counterspell,29,ml65,{U}{U},Instant,uncommon,4.53
Pro Tour Collector Set,1996-05-01,Ashes to Ashes,13,ll33sb,{1}{B}{B},Sorcery,uncommon,
Pro Tour Collector Set,1996-05-01,Lightning Bolt,28,et208,{R},Instant,common,7.24
Pro Tour Collector Set,1996-05-01,Incinerate,18,et194,{1}{R},Instant,common,0.75
Pro Tour Collector Set,1996-05-01,Fireball,12,et192,{X}{R},Sorcery,common,
Pro Tour Collector Set,1996-05-01,Fyndhorn Elves,18,bl244,{G},Creature — Elf Druid,common,1.99
Pro Tour Collector Set,1996-05-01,Llanowar Elves,28,bl261,{G},Creature — Elf Druid,common,4.75
Pro Tour Collector Set,1996-05-01,Serrated Arrows,21,et110sb,{4},Artifact,common,0.38
DCI Legend Membership,1996-07-01,Counterspell,29,1,{U}{U},Instant,rare,27.73
DCI Legend Membership,1996-07-01,Incinerate,18,2,{1}{R},Instant,rare,6.43
Rivals Quick Start Set,1996-07-01,Fireball,12,31,{X}{R},Sorcery,common,
Arena League 1996,1996-08-02,Fireball,12,7,{X}{R},Sorcery,rare,7.43
Mirage,1996-10-08,Pacifism,11,32,{1}{W},Enchantment — Aura,common,0.16
Mirage,1996-10-08,Incinerate,18,184,{1}{R},Instant,common,0.15
Mirage,1996-10-08,Rampant Growth,6,235,{1}{G},Sorcery,common,0.50
Mirage,1996-10-08,Wall of Roots,16,253,{1}{G},Creature — Plant Wall,common,0.32
Introductory Two-Player Set,1996-12-31,Fireball,12,32,{X}{R},Sorcery,common,
Visions,1997-02-03,Impulse,14,34,{1}{U},Instant,common,0.58
Visions,1997-02-03,Man-o'-War,23,37,{2}{U},Creature — Jellyfish,common,0.18
Visions,1997-02-03,Crypt Rats,20,55,{2}{B},Creature — Rat,common,0.43
Visions,1997-02-03,Fireblast,17,79,{4}{R}{R},Instant,common,0.57
Fifth Edition,1997-03-24,Counterspell,29,77,{U}{U},Instant,common,1.48
Fifth Edition,1997-03-24,Remove Soul,7,117,{1}{U},Instant,common,0.14
Fifth Edition,1997-03-24,Ashes to Ashes,13,141,{1}{B}{B},Sorcery,uncommon,0.41
Fifth Edition,1997-03-24,Pestilence,19,186,{2}{B}{B},Enchantment,common,0.24
Fifth Edition,1997-03-24,Fireball,12,227,{X}{R},Sorcery,common,0.20
Fifth Edition,1997-03-24,Incinerate,18,242,{1}{R},Instant,common,0.17
Fifth Edition,1997-03-24,Giant Growth,11,299,{G},Instant,common,0.17
Fifth Edition,1997-03-24,Llanowar Elves,28,313,{G},Creature — Elf Druid,common,0.38
Fifth Edition,1997-03-24,Nature's Lore,6,316,{1}{G},Sorcery,common,1.78
Portal,1997-05-01,Man-o'-War,23,59,{2}{U},Creature — Jellyfish,uncommon,0.48
Portal,1997-05-01,Gravedigger,14,95,{3}{B},Creature — Zombie,uncommon,0.12
Portal,1997-05-01,Nature's Lore,6,178,{1}{G},Sorcery,common,2.25
Weatherlight,1997-06-09,Mind Stone,23,153,{2},Artifact,common,0.51
World Championship Decks 1997,1997-08-13,Man-o'-War,23,js37,{2}{U},Creature — Jellyfish,common,
World Championship Decks 1997,1997-08-13,Counterspell,29,jk77,{U}{U},Instant,common,1.79
World Championship Decks 1997,1997-08-13,Impulse,14,jk34,{1}{U},Instant,common,0.29
World Championship Decks 1997,1997-08-13,Incinerate,18,jk242,{1}{R},Instant,common,
World Championship Decks 1997,1997-08-13,Fyndhorn Elves,18,sg244,{G},Creature — Elf Druid,common,0.94
World Championship Decks 1997,1997-08-13,Giant Growth,11,sg299,{G},Instant,common,1.36
World Championship Decks 1997,1997-08-13,Mind Stone,23,pm153,{2},Artifact,common,2.30
World Championship Decks 1997,1997-08-13,Serrated Arrows,21,pm110sb,{4},Artifact,common,1.49
Tempest,1997-10-14,Pacifism,11,34,{1}{W},Enchantment — Aura,common,0.12
Tempest,1997-10-14,Capsize,17,55,{1}{U}{U},Instant,common,1.21
Tempest,1997-10-14,Counterspell,29,57,{U}{U},Instant,common,1.42
Tempest,1997-10-14,Gravedigger,14,137,{3}{B},Creature — Zombie,common,0.13
Tempest,1997-10-14,Fireslinger,15,173,{1}{R},Creature — Human Wizard,common,0.19
Tempest,1997-10-14,Jackal Pup,13,183,{R},Creature — Jackal,uncommon,0.32
Tempest,1997-10-14,Rampant Growth,6,245,{1}{G},Sorcery,common,0.38
Judge Gift Cards 1998,1998-01-01,Lightning Bolt,28,1,{R},Instant,rare,
Stronghold,1998-03-02,Mana Leak,24,36,{1}{U},Instant,common,0.35
Stronghold,1998-03-02,Tortured Existence,10,74,{B},Enchantment,common,1.93
Oversized League Prizes,1998-05-29,Incinerate,18,43,{1}{R},Instant,rare,
Exodus,1998-06-15,Merfolk Looter,12,39,{1}{U},Creature — Merfolk Rogue,common,0.24
Portal Second Age,1998-06-24,Nature's Lore,6,135,{1}{G},Sorcery,common,4.02
World Championship Decks 1998,1998-08-12,Man-o'-War,23,bs37,{2}{U},Creature — Jellyfish,common,0.22
World Championship Decks 1998,1998-08-12,Counterspell,29,rb57,{U}{U},Instant,common,1.57
World Championship Decks 1998,1998-08-12,Impulse,14,rb34,{1}{U},Instant,common,0.34
World Championship Decks 1998,1998-08-12,Mana Leak,24,rb36,{1}{U},Instant,common,0.45
World Championship Decks 1998,1998-08-12,Capsize,17,rb55sb,{1}{U}{U},Instant,common,1.26
World Championship Decks 1998,1998-08-12,Jackal Pup,13,br183,{R},Creature — Jackal,uncommon,0.25
World Championship Decks 1998,1998-08-12,Incinerate,18,br184,{1}{R},Instant,common,0.24
World Championship Decks 1998,1998-08-12,Fireblast,17,br79,{4}{R}{R},Instant,common,0.78
World Championship Decks 1998,1998-08-12,Wall of Roots,16,bs253,{1}{G},Creature — Plant Wall,common,0.25
Urza's Saga,1998-10-12,Pacifism,11,27,{1}{W},Enchantment — Aura,common,0.12
Urza's Saga,1998-10-12,Peregrine Drake,13,88,{4}{U},Creature — Drake,uncommon,0.83
Urza's Saga,1998-10-12,Pestilence,19,147,{2}{B}{B},Enchantment,common,0.30
Urza's Saga,1998-10-12,Phyrexian Ghoul,7,148,{2}{B},Creature — Phyrexian Zombie,common,0.26
Anthologies,1998-11-01,Pacifism,11,10,{1}{W},Enchantment — Aura,common,0.13
Anthologies,1998-11-01,Fireball,12,29,{X}{R},Sorcery,common,0.29
Anthologies,1998-11-01,Lightning Bolt,28,43,{R},Instant,common,3.39
Anthologies,1998-11-01,Giant Growth,11,55,{G},Instant,common,0.65
Anthologies,1998-11-01,Llanowar Elves,28,59,{G},Creature — Elf Druid,common,0.44
Anthologies,1998-11-01,Serrated Arrows,21,70,{4},Artifact,common,0.30
Urza's Legacy,1999-02-15,Miscalculation,24,36,{1}{U},Instant,common,0.34
Urza's Legacy,1999-02-15,Snap,15,43,{1}{U},Instant,common,1.60
Urza's Legacy,1999-02-15,Unearth,23,72,{B},Sorcery,common,0.67
Urza's Legacy,1999-02-15,Rancor,28,110,{G},Enchantment — Aura,common,1.34
Classic Sixth Edition,1999-04-21,Pacifism,11,33,{1}{W},Enchantment — Aura,common,0.10
Classic Sixth Edition,1999-04-21,Counterspell,29,61,{U}{U},Instant,common,0.82
Classic Sixth Edition,1999-04-21,Remove Soul,7,94,{1}{U},Instant,common,0.15
Classic Sixth Edition,1999-04-21,Gravedigger,14,134,{3}{B},Creature — Zombie,common,0.17
Classic Sixth Edition,1999-04-21,Pestilence,19,149,{2}{B}{B},Enchantment,uncommon,0.41
Classic Sixth Edition,1999-04-21,Giant Growth,11,233,{G},Instant,common,0.14
Classic Sixth Edition,1999-04-21,Llanowar Elves,28,239,{G},Creature — Elf Druid,common,0.35
Classic Sixth Edition,1999-04-21,Rampant Growth,6,246,{1}{G},Sorcery,common,0.29
Portal Three Kingdoms,1999-05-01,Three Visits,4,153,{1}{G},Sorcery,common,58.66
Oversized League Prizes,1999-05-30,Fireball,12,83,{X}{R},Sorcery,rare,
Urza's Destiny,1999-06-07,Yavimaya Elder,15,124,{1}{G}{G},Creature — Human Druid,common,0.33
Starter 1999,1999-07-01,Counterspell,29,34,{U}{U},Instant,uncommon,2.78
Starter 1999,1999-07-01,Man-o'-War,23,41,{2}{U},Creature — Jellyfish,uncommon,2.25
Starter 1999,1999-07-01,Remove Soul,7,49,{1}{U},Instant,common,0.15
Starter 1999,1999-07-01,Gravedigger,14,78,{3}{B},Creature — Zombie,uncommon,0.23
Starter 1999,1999-07-01,Nature's Lore,6,136,{1}{G},Sorcery,common,2.48
World Championship Decks 1999,1999-08-04,Jackal Pup,13,mlp183,{R},Creature — Jackal,uncommon,0.22
World Championship Decks 1999,1999-08-04,Fireslinger,15,mlp173,{1}{R},Creature — Human Wizard,common,0.47
World Championship Decks 1999,1999-08-04,Llanowar Elves,28,ml239,{G},Creature — Elf Druid,common,1.68
World Championship Decks 1999,1999-08-04,Giant Growth,11,ml233,{G},Instant,common,0.35
World Championship Decks 1999,1999-08-04,Rancor,28,ml110,{G},Enchantment — Aura,common,1.11
Mercadian Masques,1999-10-04,Counterspell,29,69,{U}{U},Instant,common,1.94
Battle Royale Box Set,1999-11-12,Counterspell,29,15,{U}{U},Instant,common,2.72
Battle Royale Box Set,1999-11-12,Giant Growth,11,29,{G},Instant,common,0.21
Battle Royale Box Set,1999-11-12,Llanowar Elves,28,39,{G},Creature — Elf Druid,common,0.94
Battle Royale Box Set,1999-11-12,Man-o'-War,23,40,{2}{U},Creature — Jellyfish,common,0.17
Battle Royale Box Set,1999-11-12,Mana Leak,24,41,{1}{U},Instant,common,1.56
Battle Royale Box Set,1999-11-12,Pacifism,11,48,{1}{W},Enchantment — Aura,common,0.20
Battle Royale Box Set,1999-11-12,Pestilence,19,49,{2}{B}{B},Enchantment,uncommon,0.37
Battle Royale Box Set,1999-11-12,Phyrexian Ghoul,7,50,{2}{B},Creature — Phyrexian Zombie,common,0.25
Judge Gift Cards 2000,2000-01-01,Counterspell,29,1,{U}{U},Instant,rare,
Friday Night Magic 2000,2000-01-01,Giant Growth,11,8,{G},Instant,rare,
Friday Night Magic 2000,2000-01-01,Llanowar Elves,28,11,{G},Creature — Elf Druid,rare,
Media Inserts,2000-01-01,Silver Drake,11,13,{1}{W}{U},Creature — Drake,common,0.50
Media Inserts,2000-05-01,Phyrexian Rager,23,14,{2}{B},Creature — Phyrexian Horror,common,
World Championship Decks 2000,2000-08-02,Counterspell,29,tvdl61b,{U}{U},Instant,common,1.75
World Championship Decks 2000,2000-08-02,Miscalculation,24,jf36sb,{1}{U},Instant,common,0.25
World Championship Decks 2000,2000-08-02,Llanowar Elves,28,jk239,{G},Creature — Elf Druid,common,0.54
Beatdown Box Set,2000-10-01,Counterspell,29,6,{U}{U},Instant,common,3.12
Beatdown Box Set,2000-10-01,Impulse,14,10,{1}{U},Instant,common,1.39
Beatdown Box Set,2000-10-01,Gravedigger,14,27,{3}{B},Creature — Zombie,common,0.10
Beatdown Box Set,2000-10-01,Fireball,12,37,{X}{R},Sorcery,common,1.50
Beatdown Box Set,2000-10-01,Lightning Bolt,28,41,{R},Instant,common,2.60
Beatdown Box Set,2000-10-01,Giant Growth,11,57,{G},Instant,common,0.59
Beatdown Box Set,2000-10-01,Llanowar Elves,28,58,{G},Creature — Elf Druid,common,0.99
Beatdown Box Set,2000-10-01,Rampant Growth,6,61,{1}{G},Sorcery,common,2.77
Invasion,2000-10-02,Exclude,16,56,{2}{U},Instant,common,0.22
Invasion,2000-10-02,Opt,16,64,{U},Instant,common,0.40
Invasion,2000-10-02,Armadillo Cloak,17,229,{1}{G}{W},Enchantment — Aura,common,0.61
Friday Night Magic 2001,2001-01-01,Jackal Pup,13,8,{R},Creature — Jackal,rare,
Friday Night Magic 2001,2001-01-01,Impulse,14,11,{1}{U},Instant,rare,
Friday Night Magic 2001,2001-01-01,Fireblast,17,12,{4}{R}{R},Instant,rare,
Planeshift,2001-02-05,Cavern Harpy,16,97,{U}{B},Creature — Harpy Beast,common,0.24
Planeshift,2001-02-05,Silver Drake,11,125,{1}{W}{U},Creature — Drake,common,0.18
Planeshift,2001-02-05,Terminate,19,128,{B}{R},Instant,common,0.93
Planeshift,2001-02-05,Star Compass,4,134,{2},Artifact,uncommon,1.15
Seventh Edition,2001-04-11,Pacifism,11,29,{1}{W},Enchantment — Aura,common,0.12
Seventh Edition,2001-04-11,Counterspell,29,67,{U}{U},Instant,common,1.41
Seventh Edition,2001-04-11,Merfolk Looter,12,89,{1}{U},Creature — Merfolk Rogue,uncommon,0.25
Seventh Edition,2001-04-11,Remove Soul,7,95,{1}{U},Instant,common,0.14
Seventh Edition,2001-04-11,Crypt Rats,20,125,{2}{B},Creature — Rat,uncommon,0.47
Seventh Edition,2001-04-11,Gravedigger,14,139,{3}{B},Creature — Zombie,common,0.06
Seventh Edition,2001-04-11,Giant Growth,11,248,{G},Instant,common,0.12
Seventh Edition,2001-04-11,Llanowar Elves,28,253,{G},Creature — Elf Druid,common,0.36
Seventh Edition,2001-04-11,Rampant Growth,6,262,{1}{G},Sorcery,common,0.42
Apocalypse,2001-06-04,Coalition Honor Guard,16,3,{3}{W},Creature — Human Flagbearer,common,0.16
Apocalypse,2001-06-04,Phyrexian Rager,23,49,{2}{B},Creature — Phyrexian Horror,common,0.19
Apocalypse,2001-06-04,Temporal Spring,8,125,{1}{G}{U},Sorcery,common,0.20
Apocalypse,2001-06-04,Fire // Ice,21,128,{1}{R} // {1}{U},Instant // Instant,uncommon,2.87
World Championship Decks 2001,2001-08-08,Merfolk Looter,12,ab89,{1}{U},Creature — Merfolk Rogue,uncommon,0.45
World Championship Decks 2001,2001-08-08,Opt,16,ar64,{U},Instant,common,3.52
World Championship Decks 2001,2001-08-08,Counterspell,29,ab67,{U}{U},Instant,common,2.13
World Championship Decks 2001,2001-08-08,Llanowar Elves,28,jt253,{G},Creature — Elf Druid,common,2.97
World Championship Decks 2001,2001-08-08,Terminate,19,tvdl128,{B}{R},Instant,common,0.67
World Championship Decks 2001,2001-08-08,Fire // Ice,21,ar128,{1}{R} // {1}{U},Instant // Instant,uncommon,0.62
Odyssey,2001-10-01,Gravedigger,14,140,{3}{B},Creature — Zombie,common,0.13
Odyssey,2001-10-01,Firebolt,23,193,{R},Sorcery,common,0.21
Odyssey,2001-10-01,Reckless Charge,12,215,{R},Sorcery,common,0.21
Odyssey,2001-10-01,Werebear,14,282,{1}{G},Creature — Human Bear Druid,common,0.21
Deckmasters,2001-12-01,Incinerate,18,14,{1}{R},Instant,common,0.22
Deckmasters,2001-12-01,Fyndhorn Elves,18,26,{G},Creature — Elf Druid,common,2.98
Deckmasters,2001-12-01,Giant Growth,11,27,{G},Instant,common,0.10
Arena League 2002,2002-01-01,Man-o'-War,23,2,{2}{U},Creature — Jellyfish,rare,
Arena League 2002,2002-01-01,Mana Leak,24,5,{1}{U},Instant,rare,
Friday Night Magic 2002,2002-01-01,Fireslinger,15,6,{1}{R},Creature — Human Wizard,rare,
Torment,2002-02-04,Deep Analysis,20,36,{3}{U},Sorcery,common,0.23
Torment,2002-02-04,Chainer's Edict,15,57,{1}{B},Sorcery,uncommon,3.45
Torment,2002-02-04,Faceless Butcher,15,60,{2}{B}{B},Creature — Nightmare Horror,common,0.19
Judgment,2002-05-27,Battle Screech,26,3,{2}{W}{W},Sorcery,uncommon,0.35
Judgment,2002-05-27,Phantom Nomad,10,17,{1}{W},Creature — Spirit Nomad,common,0.17
Judgment,2002-05-27,Prismatic Strands,17,18,{2}{W},Instant,common,1.95
Judgment,2002-05-27,Elephant Guide,19,111,{2}{G},Enchantment — Aura,uncommon,0.29
Judgment,2002-05-27,Phantom Tiger,9,129,{2}{G},Creature — Cat Spirit,common,0.12
World Championship Decks 2002,2002-08-14,Merfolk Looter,12,shh89,{1}{U},Creature — Merfolk Rogue,uncommon,0.25
World Championship Decks 2002,2002-08-14,Counterspell,29,cr67,{U}{U},Instant,common,1.36
World Championship Decks 2002,2002-08-14,Deep Analysis,20,cr36,{3}{U},Sorcery,common,0.69
World Championship Decks 2002,2002-08-14,Chainer's Edict,15,cr57,{1}{B},Sorcery,uncommon,2.73
World Championship Decks 2002,2002-08-14,Llanowar Elves,28,bk253,{G},Creature — Elf Druid,common,3.47
World Championship Decks 2002,2002-08-14,Werebear,14,rl282,{1}{G},Creature — Human Bear Druid,common,0.71
World Championship Decks 2002,2002-08-14,Fire // Ice,21,bk128,{1}{R} // {1}{U},Instant // Instant,uncommon,0.69
Onslaught,2002-10-07,Pacifism,11,47,{1}{W},Enchantment — Aura,common,0.16
Onslaught,2002-10-07,Krosan Tusker,23,272,{5}{G}{G},Creature — Boar Beast,common,0.18
Friday Night Magic 2003,2003-01-01,Capsize,17,4,{1}{U}{U},Instant,rare,
Junior Super Series,2003-01-01,Giant Growth,11,8,{G},Instant,rare,
Arena League 2003,2003-01-01,Bonesplitter,29,8,{1},Artifact — Equipment,rare,
Friday Night Magic 2003,2003-01-01,Krosan Tusker,23,11,{5}{G}{G},Creature — Boar Beast,rare,
Legions,2003-02-03,Deftblade Elite,13,12,{W},Creature — Human Soldier,common,0.29
Scourge,2003-05-26,Carrion Feeder,24,59,{B},Creature — Zombie,common,1.50
Scourge,2003-05-26,Twisted Abomination,11,76,{5}{B},Creature — Zombie Mutant,common,0.06
Eighth Edition,2003-07-28,Pacifism,11,33,{1}{W},Enchantment — Aura,common,0.07
Eighth Edition,2003-07-28,Savannah Lions,12,43,{W},Creature — Cat,rare,0.44
Eighth Edition,2003-07-28,Mana Leak,24,89,{1}{U},Instant,common,0.20
Eighth Edition,2003-07-28,Remove Soul,7,95,{1}{U},Instant,common,0.11
Eighth Edition,2003-07-28,Gravedigger,14,138,{3}{B},Creature — Zombie,common,0.05
Eighth Edition,2003-07-28,Giant Growth,11,254,{G},Instant,common,0.17
Eighth Edition,2003-07-28,Rampant Growth,6,274,{1}{G},Sorcery,common,0.31
Eighth Edition,2003-07-28,Star Compass,4,315,{2},Artifact,uncommon,0.83
World Championship Decks 2003,2003-08-06,Mana Leak,24,dh89sb,{1}{U},Instant,common,
World Championship Decks 2003,2003-08-06,Deep Analysis,20,dh36,{3}{U},Sorcery,common,
World Championship Decks 2003,2003-08-06,Chainer's Edict,15,pk57,{1}{B},Sorcery,uncommon,
Mirrodin,2003-10-02,Raise the Alarm,20,16,{1}{W},Instant,common,0.10
Mirrodin,2003-10-02,Bonesplitter,29,146,{1},Artifact — Equipment,common,0.16
Japan Junior Tournament,2004-01-01,Giant Growth,11,1N04,{G},Instant,rare,
Friday Night Magic 2004,2004-01-01,Carrion Feeder,24,6,{B},Creature — Zombie,rare,
Arena League 2004,2004-01-01,Serum Visions,10,7,{U},Sorcery,rare,
Darksteel,2004-02-06,Fireball,12,60,{X}{R},Sorcery,uncommon,0.20
Darksteel,2004-02-06,Leonin Bola,6,127,{1},Artifact — Equipment,common,0.13
Darksteel,2004-02-06,Vulshok Morningstar,17,157,{2},Artifact — Equipment,common,0.11
Fifth Dawn,2004-06-04,Condescend,15,27,{X}{U},Instant,common,0.27
Fifth Dawn,2004-06-04,Serum Visions,10,36,{U},Sorcery,common,0.96
Fifth Dawn,2004-06-04,Night's Whisper,18,55,{1}{B},Sorcery,uncommon,3.33
Fifth Dawn,2004-06-04,Guardian Idol,9,128,{2},Artifact,uncommon,0.36
Fifth Dawn,2004-06-04,Wayfarer's Bauble,9,165,{1},Artifact,common,0.42
World Championship Decks 2004,2004-09-01,Pacifism,11,gn33sb,{1}{W},Enchantment — Aura,common,0.30
World Championship Decks 2004,2004-09-01,Condescend,15,gn27,{X}{U},Instant,common,
World Championship Decks 2004,2004-09-01,Mana Leak,24,gn89,{1}{U},Instant,common,0.35
World Championship Decks 2004,2004-09-01,Serum Visions,10,ap36sb,{U},Sorcery,common,0.99
World Championship Decks 2004,2004-09-01,Fireball,12,mb60,{X}{R},Sorcery,uncommon,
World Championship Decks 2004,2004-09-01,Rampant Growth,6,jn274,{1}{G},Sorcery,common,0.75
