Card Name,# Cubes,Sets,Mana Cost,Type
Celestial Unicorn,7,Adventures in the Forgotten Realms Alchemy Horizons: Baldur's Gate Adventures in the Forgotten Realms,{2}{W},Creature — Unicorn
Chandra's Outrage,2,Core Set 2020 Masters 25 Archenemy: Nicol Bolas Modern Masters 2017 Magic 2014 Magic 2012 Magic 2011 Archenemy Media Inserts,{2}{R}{R},Instant
Chandra's Pyrohelix,2,War of the Spark Kaladesh Jumpstart 2022 Kaladesh Remastered Mystery Booster,{1}{R},Instant
Charismatic Vanguard,1,Dominaria United,{2}{W},Creature — Dwarf Soldier
Charmed Sleep,1,Adventures in the Forgotten Realms Throne of Eldraine Alchemy Horizons: Baldur's Gate,{1}{U}{U},Enchantment — Aura
Child of Night,1,Jumpstart Guilds of Ravnica Core Set 2019 Iconic Masters Conspiracy: Take the Crown Magic 2015 Magic 2014 Duel Decks: Sorin vs. Tibalt Magic 2012 Magic 2011 Magic 2010 Mystery Booster Explorers of Ixalan,{1}{B},Creature — Vampire
Cinder Barrens,3,Commander 2019 Core Set 2019 Rivals of Ixalan Commander 2017 Hour of Devastation Amonkhet Oath of the Gatewatch Starter Commander Decks,,Land
Cloudkin Seer,25,Core Set 2020 Arena Beginner Set Mystery Booster,{2}{U},Creature — Elemental Wizard
Cloudreader Sphinx,3,Double Masters Jumpstart Dominaria Mystery Booster,{4}{U},Creature — Sphinx
Cobbled Wings,1,Ixalan Duel Decks: Blessed vs. Cursed Innistrad,{2},Artifact — Equipment
Cold-Water Snapper,1,Dominaria,{5}{U},Creature — Turtle
Colossal Dreadmaw,3,Core Set 2021 Core Set 2019 Masters 25 Rivals of Ixalan Ixalan Jumpstart 2022 Mystery Booster,{4}{G}{G},Creature — Dinosaur
Corpse Hauler,1,Jumpstart Magic 2014,{1}{B},Creature — Human Rogue
Crossroads Candleguide,1,Innistrad: Midnight Hunt Innistrad: Double Feature,{4},Artifact Creature — Scarecrow
Cruel Grimnarch,2,Phyrexia: All Will Be One,{5}{B},Creature — Phyrexian Cleric
Cruel Witness,8,Innistrad: Crimson Vow Innistrad: Double Feature,{2}{U}{U},Creature — Bird Horror
Crypt Lurker,1,Core Set 2021,{3}{B},Creature — Horror
Dark Bargain,1,Ikoria: Lair of Behemoths Dominaria,{3}{B},Instant
Dire Wolf Prowler,1,Adventures in the Forgotten Realms The List Adventures in the Forgotten Realms,{2}{G},Creature — Wolf
Disperse,1,Core Set 2019 Welcome Deck 2016 Magic Origins Magic 2014 Scars of Mirrodin Morningtide,{1}{U},Instant
Divination,1,Core Set 2019 Dominaria Conspiracy: Take the Crown Magic 2015 Born of the Gods Magic 2014 Magic 2013 Dark Ascension Magic 2012 Magic 2010 Mystery Booster Salvat 2011 Arena New Player Experience Extras,{2}{U},Sorcery
Divine Arrow,1,Jumpstart Ikoria: Lair of Behemoths War of the Spark Jumpstart 2022,{1}{W},Instant
Dragon Fodder,5,Commander Masters Jumpstart Game Night Modern Masters 2017 Magic Origins Dragons of Tarkir Duel Decks: Knights vs. Dragons Archenemy Shards of Alara Jumpstart 2022 Jumpstart 2022 Mystery Booster Magic Online Promos Tarkir Dragonfury Salvat 2011 Commander Masters Art Series,{1}{R},Sorcery
Dread Rider,1,Kaldheim Jumpstart 2022,{5}{B},Creature — Spirit Knight
Drowsing Tyrannodon,4,Core Set 2021 Jumpstart 2022,{1}{G},Creature — Dinosaur
Eccentric Farmer,7,Innistrad: Midnight Hunt Innistrad: Double Feature,{2}{G},Creature — Human Peasant
Edgewall Pack,1,Wilds of Eldraine,{3}{R},Creature — Dog
Elturgard Ranger,1,Adventures in the Forgotten Realms,{4}{G},Creature — Human Elf Ranger
Empyrean Eagle,3,Kaldheim Commander Core Set 2020 The List Starter Commander Decks,{1}{W}{U},Creature — Bird Spirit
Epicure of Blood,6,Commander 2021 Core Set 2020 Core Set 2019 Jumpstart 2022 Mystery Booster,{4}{B},Creature — Vampire
Essence Scatter,6,Dominaria United Ikoria: Lair of Behemoths Core Set 2019 Duel Decks: Merfolk vs. Goblins Amonkhet Magic 2014 Magic 2013 Magic 2010 Amonkhet Remastered Mystery Booster Salvat 2011 Duels of the Planeswalkers,{1}{U},Instant
Evolving Wilds,28,Wilds of Eldraine March of the Machine Commander The Brothers' War Dominaria United Commander Commander Legends: Battle for Baldur's Gate Innistrad: Crimson Vow Innistrad: Midnight Hunt Adventures in the Forgotten Realms Commander Legends Zendikar Rising Commander Ikoria: Lair of Behemoths Commander 2019 Core Set 2020 Commander 2018 Commander Anthology Volume II Rivals of Ixalan Iconic Masters Commander 2017 Commander Anthology Amonkhet Commander 2016 Conspiracy: Take the Crown Commander 2015 Battle for Zendikar Duel Decks: Zendikar vs. Eldrazi Magic Origins Modern Masters 2015 Dragons of Tarkir Duel Decks: Elspeth vs. Kiora Commander 2014 Duel Decks: Speed vs. Cunning Magic 2015 Commander 2013 Duel Decks: Sorin vs. Tibalt Magic 2013 Dark Ascension Duel Decks: Ajani vs. Nicol Bolas Commander 2011 Rise of the Eldrazi Tales of Middle-earth Commander From Cute to Brute Shadows of the Past Jumpstart 2022 The Brothers' War Commander Warhammer 40,000 Commander Warhammer 40,000 Commander Innistrad: Double Feature Innistrad: Double Feature Adventures in the Forgotten Realms MTG Arena Promos Secret Lair Drop Amonkhet Remastered Arena Beginner Set Mystery Booster Rivals of Ixalan Promos Magic Online Promos Tarkir Dragonfury Magic Online Promos Friday Night Magic 2012 Wilds of Eldraine Art Series,,Land
Excavation Mole,3,Ikoria: Lair of Behemoths,{2}{G},Creature — Mole
Experimental Overload,1,Core Set 2021,{2}{U}{R},Sorcery
Exultant Skymarcher,1,Rivals of Ixalan Mystery Booster,{1}{W}{W},Creature — Vampire Soldier
Facet Reader,1,Ikoria: Lair of Behemoths,{1}{U},Creature — Human Wizard
Faerie Duelist,9,Ravnica Allegiance,{1}{U},Creature — Faerie Rogue
Fan Bearer,1,Game Night Amonkhet Amonkhet Remastered,{W},Creature — Zombie
Fire Prophecy,9,Ikoria: Lair of Behemoths,{1}{R},Instant
Fissure Wizard,2,Zendikar Rising,{1}{R},Creature — Goblin Wizard
Fling,5,Jumpstart Throne of Eldraine Amonkhet Planechase Anthology Planechase 2012 Dark Ascension Magic 2012 Magic 2011 Stronghold Secret Lair Drop Mystery Booster Magic Online Promos Magic Online Promos Magic Online Promos DCI Promos DCI Promos Arena League 2001,{1}{R},Instant
Forge Boss,1,Streets of New Capenna,{2}{B}{R},Creature — Human Warrior
Forsaken Sanctuary,3,Commander 2018 Core Set 2019 Rivals of Ixalan Commander 2017 Amonkhet Shadows over Innistrad Shadows over Innistrad Remastered,,Land
Foul Orchard,3,Kaldheim Commander Commander 2019 Core Set 2019 Rivals of Ixalan Amonkhet Shadows over Innistrad Shadows over Innistrad Remastered,,Land
Frenzied Raptor,1,Ikoria: Lair of Behemoths Ixalan Mystery Booster,{2}{R},Creature — Dinosaur
Frost Lynx,3,Ikoria: Lair of Behemoths Core Set 2020 Battlebond Iconic Masters Magic 2015 Mystery Booster,{2}{U},Creature — Elemental Cat
Gale Swooper,1,Core Set 2021,{3}{W},Creature — Griffin
Geistwave,1,Innistrad: Midnight Hunt Innistrad: Double Feature,{1}{U},Instant
Ghoulcaller's Accomplice,2,Jumpstart Ultimate Masters Shadows over Innistrad Shadows over Innistrad Remastered Mystery Booster,{1}{B},Creature — Human Rogue
Gift of Strength,1,Theros Beyond Death Ravnica Allegiance Hour of Devastation,{1}{G},Instant
Gnottvold Recluse,2,Kaldheim,{2}{G},Creature — Spider
Goblin Arsonist,1,Core Set 2021 Duel Decks: Sorin vs. Tibalt Magic 2013 Magic 2012 Rise of the Eldrazi,{R},Creature — Goblin Shaman
Gorging Vulture,5,Core Set 2020 Jumpstart 2022,{2}{B},Creature — Bird
Grizzled Outrider,1,Kaldheim,{4}{G},Creature — Elf Warrior
Harried Spearguard,3,Wilds of Eldraine,{R},Creature — Human Soldier
Healer's Hawk,7,Jumpstart Guilds of Ravnica Mystery Booster,{W},Creature — Bird
Heroic Reinforcements,8,Double Masters 2022 Core Set 2019 Phyrexia: All Will Be One Commander,{2}{R}{W},Sorcery
Highland Lake,3,Commander 2019 Commander 2018 Core Set 2019 Rivals of Ixalan Amonkhet Shadows over Innistrad Shadows over Innistrad Remastered,,Land
Hired Poisoner,1,Guilds of Ravnica,{B},Creature — Human Assassin
Hobblefiend,11,Core Set 2021,{1}{R},Creature — Devil
Hungry Flames,2,Jumpstart Aether Revolt Jumpstart 2022 Kaladesh Remastered,{2}{R},Instant
Hunter's Edge,1,Core Set 2021 Jumpstart 2022,{3}{G},Sorcery
Ilysian Caryatid,3,Commander Masters Theros Beyond Death Jumpstart 2022 Arena Beginner Set,{1}{G},Creature — Plant
Impassioned Orator,4,Core Set 2020 Ravnica Allegiance Arena Beginner Set,{1}{W},Creature — Human Cleric
Impulse,14,Dominaria United Battlebond Duel Decks: Speed vs. Cunning Visions Dominaria Remastered Dominaria Remastered Game Night: Free-for-All Mystery Booster From the Vault: Twenty Magic Online Promos Friday Night Magic 2001 Beatdown Box Set World Championship Decks 1998 World Championship Decks 1997,{1}{U},Instant
Indulging Patrician,1,Core Set 2021,{1}{W}{B},Creature — Vampire Noble
Inspired Charge,2,March of the Machine Jumpstart Core Set 2020 Game Night Core Set 2019 Kaladesh Battle for Zendikar Magic 2015 Magic 2011 Kaladesh Remastered Mystery Booster,{2}{W}{W},Instant
Inspiring Overseer,21,Streets of New Capenna Jumpstart 2022,{2}{W},Creature — Angel Cleric
Into the Fae Court,2,Wilds of Eldraine Wilds of Eldraine Art Series,{3}{U}{U},Sorcery
Ironroot Warlord,2,Jumpstart Core Set 2020,{1}{G}{W},Creature — Treefolk Soldier
Joraga Visionary,1,Zendikar Rising Game Night: Free-for-All,{3}{G},Creature — Elf Wizard
Kasmina's Transmutation,3,Double Masters 2022 War of the Spark,{1}{U},Enchantment — Aura
Keen Glidemaster,1,Core Set 2021,{1}{U},Creature — Human Soldier
Kor Celebrant,2,Zendikar Rising Zendikar Rising Art Series,{2}{W},Creature — Kor Cleric
Leafkin Druid,2,New Capenna Commander Core Set 2020 Starter Commander Decks,{1}{G},Creature — Elemental Druid
Leave in the Dust,1,Jumpstart Aether Revolt Jumpstart 2022 Kaladesh Remastered,{3}{U},Instant
Lich's Caress,1,Core Set 2019,{3}{B}{B},Sorcery
Light of Hope,1,Ikoria: Lair of Behemoths Jumpstart 2022 Jumpstart: Historic Horizons,{W},Instant
Lightning Strike,17,Dominaria United Game Night 2019 Core Set 2019 Ixalan Magic 2015 Theros Secret Lair Drop Dominaria United Jumpstart Arena Exclusives,{1}{R},Instant
Llanowar Elves,27,Game Night Core Set 2019 Dominaria Commander Anthology Eternal Masters Duel Decks Anthology: Elves vs. Goblins Commander 2014 Magic 2012 Magic 2011 Magic 2010 Duel Decks: Elves vs. Goblins Tenth Edition Ninth Edition Ninth Edition Seventh Edition Seventh Edition Classic Sixth Edition Fifth Edition Fourth Edition Summer Magic / Edgar Revised Edition Unlimited Edition Limited Edition Beta Limited Edition Alpha Resale Promos 30th Anniversary History Promos 30th Anniversary History Promos Secret Lair Drop Game Night: Free-for-All Mystery Booster MTG Arena Promos Magic Online Promos Dominaria Promos Magic Online Promos Magic Online Promos DCI Promos Beatdown Box Set Friday Night Magic 2000 Battle Royale Box Set Anthologies Fourth Edition Foreign Black Border Foreign Black Border 30th Anniversary Edition 30th Anniversary Edition World Championship Decks 2002 World Championship Decks 2002 World Championship Decks 2001 World Championship Decks 2000 World Championship Decks 2000 World Championship Decks 1999 Pro Tour Collector Set Intl. Collectors' Edition Collectors' Edition Time Spiral Remastered Tokens,{G},Creature — Elf Druid
Llanowar Visionary,24,Core Set 2021 Core Set 2021,{2}{G},Creature — Elf Druid
Macabre Waltz,3,Jumpstart Core Set 2019 Shadows over Innistrad Magic Origins Dissension Shadows over Innistrad Remastered Mystery Booster,{1}{B},Sorcery
Magnigoth Sentry,3,Dominaria United Dominaria United Art Series,{3}{G},Creature — Treefolk
Mana Geode,1,Jumpstart War of the Spark,{3},Artifact
Maraleaf Pixie,2,Throne of Eldraine The List,{G}{U},Creature — Faerie
Marauder's Axe,1,Jumpstart Core Set 2020 Core Set 2019,{2},Artifact — Equipment
Marauding Blight-Priest,8,Zendikar Rising Jumpstart 2022,{2}{B},Creature — Vampire Cleric
Mayhem Devil,6,War of the Spark,{1}{B}{R},Creature — Devil
Meandering River,3,Kaldheim Commander Commander 2018 Core Set 2019 Global Series Jiang Yanggu & Mu Yanling Dominaria Amonkhet Oath of the Gatewatch Starter Commander Decks Treasure Chest,,Land
Meldweb Curator,1,Phyrexia: All Will Be One Phyrexia: All Will Be One Art Series,{3}{U},Creature — Phyrexian Wizard
Mesa Cavalier,2,Dominaria United,{2}{W},Creature — Human Knight
Mesa Unicorn,3,Jumpstart Game Night Dominaria,{1}{W},Creature — Unicorn
Mind Drain,1,Zendikar Rising,{2}{B},Sorcery
Misleading Motes,1,Wilds of Eldraine,{3}{U},Instant
Moment of Craving,5,Rivals of Ixalan Jumpstart 2022 Mystery Booster,{1}{B},Instant
Moment of Valor,1,Wilds of Eldraine,{2}{W},Instant
Morkrut Behemoth,2,Innistrad: Midnight Hunt Innistrad: Double Feature,{4}{B},Creature — Zombie Giant
Murder,7,Commander Legends: Battle for Baldur's Gate Streets of New Capenna Commander Legends Zendikar Rising Commander Core Set 2020 Core Set 2019 Masters 25 Conspiracy: Take the Crown Eldritch Moon Magic 2013 Starter Commander Decks Arena Beginner Set Mystery Booster Magic Online Promos Core Set 2019 Promos,{1}{B}{B},Instant
Muse Drake,1,Guilds of Ravnica,{3}{U},Creature — Drake
Octoprophet,2,Jumpstart Core Set 2020 Jumpstart 2022 Arena Beginner Set,{3}{U},Creature — Octopus
Omenspeaker,4,Commander Legends Core Set 2019 Battlebond Conspiracy: Take the Crown Duel Decks: Elspeth vs. Kiora Theros Mystery Booster,{1}{U},Creature — Human Wizard
Open Fire,1,Hour of Devastation Amonkhet Remastered,{2}{R},Instant
Opt,16,Core Set 2021 Throne of Eldraine Dominaria Ixalan Invasion Wilds of Eldraine Commander Tales of Middle-earth Commander Jumpstart 2022 Strixhaven Mystical Archive Strixhaven Mystical Archive Secret Lair Drop Mystery Booster Magic Online Promos Dominaria Promos World Championship Decks 2001,{U},Instant
Pacifism,11,Jumpstart Ikoria: Lair of Behemoths Core Set 2020 Battlebond Masters 25 Eternal Masters Tempest Remastered Dragons of Tarkir Duel Decks Anthology: Divine vs. Demonic Magic 2014 Magic 2013 Magic 2012 Magic 2011 Magic 2010 Duel Decks: Divine vs. Demonic Tenth Edition Tenth Edition Ninth Edition Ninth Edition Eighth Edition Eighth Edition Onslaught Seventh Edition Seventh Edition Classic Sixth Edition Urza's Saga Tempest Mirage Dominaria Remastered Arena Beginner Set Mystery Booster Salvat 2011 Salvat 2005 Salvat 2005 Battle Royale Box Set Anthologies World Championship Decks 2004,{1}{W},Enchantment — Aura
Paladin of the Bloodstained,1,Ixalan Mystery Booster,{3}{W},Creature — Vampire Knight
Phyrexian Rager,23,March of the Machine Commander Dominaria United Commander Legends: Battle for Baldur's Gate Commander Legends Jumpstart Iconic Masters Commander Anthology Eternal Masters Commander 2015 Duel Decks Anthology: Garruk vs. Liliana Mirrodin Besieged Duel Decks: Garruk vs. Liliana Tenth Edition Apocalypse Planeswalker Championship Promos Dominaria Remastered Mystery Booster Media Inserts,{2}{B},Creature — Phyrexian Horror
Phyrexian Vivisector,2,Dominaria United,{1}{B},Creature — Phyrexian Human
Pigment Storm,1,Strixhaven: School of Mages,{3}{R}{R},Sorcery
Portent of Betrayal,1,Commander Legends Theros Beyond Death Theros,{3}{R},Sorcery
Priest of Ancient Lore,10,Commander Legends: Battle for Baldur's Gate Adventures in the Forgotten Realms Alchemy Horizons: Baldur's Gate,{2}{W},Creature — Dwarf Cleric
Prophet of the Peak,3,Throne of Eldraine,{6},Artifact Creature — Cat
Psychic Symbiont,1,Double Masters 2022 Core Set 2019,{4}{U}{B},Creature — Nightmare Horror
Pyroceratops,6,Ikoria: Lair of Behemoths,{3}{R},Creature — Elemental Dinosaur
Queen's Commission,1,Ixalan,{2}{W},Sorcery
Quick Study,3,Wilds of Eldraine,{2}{U},Instant
Quicksilver Fisher,1,Phyrexia: All Will Be One Phyrexia: All Will Be One Phyrexia: All Will Be One Phyrexia: All Will Be One Art Series,{3}{U}{U},Creature — Phyrexian Drake
Rabid Bite,2,Zendikar Rising Core Set 2020 Core Set 2019 Welcome Deck 2017 Shadows over Innistrad Shadows over Innistrad Remastered Game Night: Free-for-All Arena Beginner Set,{1}{G},Sorcery
Raging Kronch,2,War of the Spark,{2}{R},Creature — Beast
Raise the Alarm,20,Commander Legends Jumpstart Core Set 2020 Conspiracy: Take the Crown Eternal Masters Modern Masters 2015 Duel Decks: Elspeth vs. Kiora Magic 2015 Duel Decks: Elspeth vs. Tezzeret Mirrodin Modern Event Deck 2014,{1}{W},Instant
Rat Out,1,Wilds of Eldraine,{B},Instant
Read the Tides,1,Core Set 2021,{5}{U},Sorcery
Reckless Impulse,20,Innistrad: Crimson Vow Innistrad: Double Feature,{1}{R},Sorcery
Relentless Pursuit,1,Theros Beyond Death Jumpstart 2022,{2}{G},Sorcery
Revitalize,3,Kaldheim Core Set 2021 Core Set 2019 Strixhaven Mystical Archive Strixhaven Mystical Archive Strixhaven Art Series Strixhaven Art Series Kaldheim Art Series,{1}{W},Instant
Revitalize,3,Kaldheim Core Set 2021 Core Set 2019 Strixhaven Mystical Archive Strixhaven Mystical Archive Strixhaven Art Series Strixhaven Art Series Kaldheim Art Series,{1}{W},Instant
Ripscale Predator,1,Commander Legends Core Set 2020 Gatecrash Jumpstart 2022,{4}{R}{R},Creature — Dinosaur
Rise Again,3,Core Set 2021,{4}{B},Sorcery
Roc Hunter,1,The Brothers' War,{1}{R},Creature — Human Soldier
Rootrider Faun,2,Wilds of Eldraine,{1}{G},Creature — Satyr Scout
Rumbling Baloth,1,Jumpstart Magic 2014 Arena Beginner Set Arena New Player Experience Extras,{2}{G}{G},Creature — Beast
Run Amok,3,Kaldheim Dominaria Mystery Booster,{1}{R},Instant
Salvager of Secrets,6,Game Night 2019 Core Set 2019,{3}{U}{U},Creature — Merfolk Wizard
Sanitarium Skeleton,4,Commander Legends Jumpstart Commander 2019 Core Set 2020 Ultimate Masters Shadows over Innistrad Shadows over Innistrad Remastered Arena Beginner Set,{B},Creature — Skeleton
Scale the Heights,3,Zendikar Rising Jumpstart 2022,{2}{G},Sorcery
Scarecrow Guide,2,Wilds of Eldraine,{2},Artifact Creature — Scarecrow
Sepulcher Ghoul,2,Adventures in the Forgotten Realms Alchemy Horizons: Baldur's Gate Adventures in the Forgotten Realms Art Series,{1}{B},Creature — Zombie
Shimmer of Possibility,1,Ravnica Allegiance,{1}{U},Sorcery
Shock,5,Core Set 2021 Core Set 2020 Core Set 2019 Battlebond Aether Revolt Duel Decks: Speed vs. Cunning Magic 2014 Magic 2012 Tenth Edition Ninth Edition Ninth Edition Eighth Edition Eighth Edition Onslaught Seventh Edition Seventh Edition Classic Sixth Edition Stronghold Strixhaven Mystical Archive Strixhaven Mystical Archive Arena Beginner Set Mystery Booster Media Inserts Magic Online Promos Salvat 2011 Duels of the Planeswalkers Salvat 2005 Salvat 2005 Beatdown Box Set Friday Night Magic 2000 World Championship Decks 1999 World Championship Decks 1998,{R},Instant
Shore Up,3,Dominaria United,{U},Instant
Short Sword,3,Core Set 2021 Dominaria Mystery Booster,{1},Artifact — Equipment
Signpost Scarecrow,1,Jumpstart Throne of Eldraine The List,{4},Artifact Creature — Scarecrow
Silverback Shaman,11,Commander Legends Core Set 2020 Jumpstart 2022,{3}{G}{G},Creature — Ape Shaman
Skittering Surveyor,3,March of the Machine Jumpstart Dominaria,{3},Artifact Creature — Construct
Skophos Warleader,2,Theros Beyond Death,{4}{R},Creature — Minotaur Warrior
Sky Theater Strix,5,War of the Spark,{1}{U},Creature — Bird
Skyline Scout,1,Guilds of Ravnica,{1}{W},Creature — Human Scout
Sleight of Hand,3,Wilds of Eldraine Ultimate Masters Masters Edition IV Ninth Edition Ninth Edition Seventh Edition Seventh Edition Starter 1999 Portal Second Age Wilds of Eldraine,{U},Sorcery
Snakeskin Veil,19,Commander Masters Kaldheim Strixhaven Mystical Archive Strixhaven Mystical Archive,{G},Instant
Snarespinner,1,Dominaria United Core Set 2021 War of the Spark,{1}{G},Creature — Spider
Soothsayer Adept,1,Strixhaven: School of Mages,{1}{U},Creature — Merfolk Wizard
Soul Salvage,1,Jumpstart Core Set 2020 Dominaria,{2}{B},Sorcery
Spark Reaper,4,Midnight Hunt Commander War of the Spark Starter Commander Decks Jumpstart 2022,{2}{B},Creature — Zombie
Sparktongue Dragon,2,Commander Legends Game Night 2019 Core Set 2019 Jumpstart 2022 Mystery Booster,{3}{R}{R},Creature — Dragon
Spellgorger Weird,9,Core Set 2021 War of the Spark Jumpstart 2022,{2}{R},Creature — Weird
Spellkeeper Weird,2,War of the Spark,{2}{U},Creature — Weird
Steadfast Unicorn,2,Commander Legends: Battle for Baldur's Gate Alchemy Horizons: Baldur's Gate,{W},Creature — Unicorn
Stone Quarry,3,Commander Legends Commander 2019 Core Set 2019 Rivals of Ixalan Ixalan Commander 2017 Amonkhet Kaladesh Shadows over Innistrad Shadows over Innistrad Remastered,,Land
Storm Strike,1,Ravnica Allegiance Arena Beginner Set,{R},Instant
Stormkeld Prowler,1,Wilds of Eldraine,{1}{U},Creature — Human Rogue
Submerged Boneyard,3,Zendikar Rising Commander Commander 2018 Core Set 2019 Amonkhet Aether Revolt Oath of the Gatewatch Starter Commander Decks,,Land
Subtle Strike,2,Zendikar Rising Kaladesh Kaladesh Remastered Mystery Booster,{1}{B},Instant
Supernatural Stamina,3,Commander Masters Double Masters 2022 Commander Legends Double Masters Masters 25 Amonkhet Game Night: Free-for-All Amonkhet Remastered,{B},Instant
Take Vengeance,1,Game Night 2019 Core Set 2020 Core Set 2019 Mystery Booster Arena New Player Experience Extras,{1}{W},Sorcery
Talons of Wildwood,3,Core Set 2019 Mystery Booster,{1}{G},Enchantment — Aura
Tamiyo's Epiphany,2,War of the Spark,{3}{U},Sorcery
Terrain Elemental,2,Kaladesh Mystery Booster,{1}{G},Creature — Elemental
Testament Bearer,1,Phyrexia: All Will Be One Phyrexia: All Will Be One Art Series,{3}{B},Creature — Phyrexian Warrior
Thrill of Possibility,7,Phyrexia: All Will Be One Dominaria United Commander Dominaria United Core Set 2021 Theros Beyond Death Throne of Eldraine Tales of Middle-earth Commander Jumpstart 2022 Strixhaven Mystical Archive Strixhaven Mystical Archive Theros Beyond Death Mystery Booster Tales of Middle-earth Art Series Phyrexia: All Will Be One Art Series Strixhaven Art Series Strixhaven Art Series,{1}{R},Instant
Thunder Drake,3,War of the Spark Mystery Booster,{3}{U},Creature — Elemental Drake
Timber Gorge,3,Core Set 2019 Global Series Jiang Yanggu & Mu Yanling Dominaria Amonkhet Oath of the Gatewatch Starter Commander Decks Treasure Chest,,Land
Titanic Growth,1,Wilds of Eldraine Phyrexia: All Will Be One Core Set 2021 Core Set 2020 Core Set 2019 Magic Origins Magic 2015 Magic 2013 Magic 2012 Arena Beginner Set Mystery Booster,{1}{G},Instant
